id,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153173@金融倫理學@1@1,5154210@投資組合分析@1@1,5154400@風險管理與保險@1@1,5154441@不動產概論@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5153100@財務理論與政策@2@1,5153351@財務風險管理@2@1,5154180@國際財務管理@2@2,5152100@財務管理（一）@1@3,5152100@財務管理（一）@1@4,5153300@金融市場與機構@1@1,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5153340@期貨與選擇權@1@2,5154172@財務金融個案研究@1@1,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5152101@財務管理（二）@2@3,5152101@財務管理（二）@2@4,5153174@企業價值評估@2@1,5154180@國際財務管理@2@1,5154315@銀行管理@2@1,5154320@投資銀行@2@1,5154661@財務預測@2@1,5151032@初級會計學（一）@1@1,5153300@金融市場與機構@1@2,5154172@財務金融個案研究@1@2,5154313@資本市場與基金組合管理@1@1,5154314@金融風險與金控公司管理@2@1,5154316@銀行管理與金融科技@2@1,5154352@金融科技@2@1,5154400@風險管理與保險@2@1
402515031,80,NaN,NaN,NaN,74,NaN,78,NaN,81,84,96,77,NaN,NaN,NaN,73,79,NaN,82,NaN,81,92,NaN,87,NaN,NaN,89,74,80,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
402515033,80,NaN,NaN,NaN,NaN,98,83,NaN,81,96,92,97,NaN,92,NaN,99,91,NaN,NaN,93,92,-1,100,NaN,NaN,NaN,90,87,92,NaN,NaN,NaN,NaN,NaN,NaN,-1,93,NaN,NaN,NaN,NaN,NaN,95,NaN,-1,NaN,NaN,NaN
402515059,82,NaN,NaN,NaN,72,NaN,67,NaN,73,78,75,67,NaN,NaN,73,NaN,78,NaN,NaN,74,100,71,NaN,64,NaN,NaN,86,74,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,82,NaN,NaN,NaN,NaN,NaN
402515067,80,NaN,NaN,NaN,NaN,88,78,NaN,86,90,87,96,NaN,87,NaN,99,89,NaN,NaN,90,92,NaN,NaN,92,NaN,NaN,86,80,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
402515071,82,NaN,NaN,NaN,66,NaN,60,NaN,60,72,83,66,NaN,NaN,70,NaN,66,NaN,75,NaN,NaN,63,NaN,82,NaN,NaN,89,74,72,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1
402515073,80,NaN,NaN,NaN,100,NaN,79,NaN,80,88,100,92,NaN,NaN,100,NaN,94,NaN,98,NaN,90,NaN,NaN,-1,NaN,NaN,90,85,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN
402515079,80,NaN,NaN,NaN,60,NaN,NaN,78,65,NaN,67,73,NaN,NaN,71,NaN,NaN,66,NaN,60,69,NaN,NaN,66,NaN,NaN,87,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,66,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
402515023,NaN,80,NaN,NaN,79,NaN,77,NaN,80,82,83,72,NaN,NaN,78,NaN,67,NaN,NaN,71,100,NaN,NaN,NaN,NaN,NaN,86,75,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN
402515027,NaN,80,NaN,NaN,68,NaN,70,NaN,81,87,85,NaN,NaN,NaN,NaN,84,80,NaN,94,NaN,81,NaN,NaN,84,NaN,NaN,88,87,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402515037,NaN,80,NaN,NaN,77,NaN,NaN,82,72,83,74,77,NaN,80,82,NaN,NaN,88,NaN,77,100,91,NaN,NaN,NaN,NaN,90,69,93,NaN,NaN,NaN,NaN,NaN,NaN,-1,99,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN
402515041,NaN,80,NaN,NaN,NaN,70,NaN,78,60,69,70,60,NaN,NaN,-1,NaN,NaN,60,NaN,NaN,NaN,-1,NaN,60,NaN,NaN,86,60,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1
402515043,NaN,80,NaN,NaN,60,NaN,58,NaN,60,70,60,NaN,NaN,NaN,60,NaN,60,NaN,62,NaN,NaN,55,90,NaN,60,NaN,91,NaN,63,NaN,NaN,NaN,-1,NaN,NaN,NaN,65,NaN,71,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,-1
402515045,NaN,80,NaN,NaN,NaN,99,86,NaN,77,90,92,NaN,NaN,NaN,NaN,99,84,NaN,NaN,90,100,NaN,100,93,NaN,NaN,90,90,94,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN
402515049,NaN,80,NaN,NaN,71,NaN,48,NaN,60,74,74,60,NaN,NaN,NaN,62,60,NaN,78,NaN,82,65,NaN,62,60,NaN,86,60,50,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,-1,NaN,NaN
402515051,NaN,80,NaN,NaN,71,NaN,73,NaN,75,89,79,NaN,NaN,NaN,86,NaN,86,NaN,90,NaN,78,84,NaN,85,NaN,NaN,88,83,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,-1,NaN,NaN,NaN
402515053,NaN,80,NaN,NaN,NaN,82,62,NaN,84,86,82,90,NaN,NaN,NaN,79,79,NaN,91,NaN,83,88,NaN,90,NaN,NaN,90,89,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,-1,NaN,NaN,NaN
402515055,NaN,80,NaN,NaN,NaN,90,NaN,96,73,88,74,96,NaN,86,NaN,92,NaN,91,94,NaN,100,97,NaN,NaN,NaN,NaN,89,90,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,84,93,NaN,NaN,NaN,91,NaN,-1,NaN,NaN,-1
402515061,NaN,80,NaN,NaN,73,NaN,70,NaN,80,84,75,NaN,NaN,NaN,70,NaN,69,NaN,75,NaN,NaN,81,NaN,77,NaN,NaN,86,74,85,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,77,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN
402515065,NaN,80,NaN,NaN,80,NaN,78,NaN,66,81,80,NaN,NaN,NaN,74,NaN,73,NaN,NaN,72,NaN,80,NaN,83,NaN,NaN,86,74,80,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,95,91,-1,NaN,NaN,NaN
402515075,NaN,80,NaN,NaN,83,NaN,70,NaN,70,78,77,NaN,NaN,NaN,84,NaN,72,NaN,NaN,66,NaN,73,NaN,78,NaN,NaN,90,76,80,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,95,95,-1,NaN,NaN,NaN
402515077,NaN,80,NaN,NaN,100,NaN,92,NaN,84,90,97,NaN,NaN,NaN,100,NaN,96,NaN,NaN,97,91,NaN,NaN,96,NaN,NaN,88,95,98,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402515010,NaN,NaN,85,NaN,93,NaN,78,NaN,87,92,92,NaN,NaN,NaN,99,NaN,NaN,92,NaN,85,100,89,NaN,NaN,NaN,NaN,88,86,97,NaN,93,NaN,NaN,NaN,NaN,96,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402515012,NaN,NaN,85,NaN,87,NaN,80,NaN,77,92,93,94,NaN,NaN,100,NaN,86,NaN,NaN,90,NaN,NaN,100,97,NaN,NaN,90,88,83,NaN,89,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402515014,NaN,NaN,85,NaN,NaN,85,71,NaN,NaN,86,83,NaN,NaN,NaN,NaN,88,81,NaN,NaN,82,86,NaN,NaN,NaN,NaN,NaN,90,70,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,95,91,NaN,NaN,NaN,NaN
402515018,NaN,NaN,80,NaN,NaN,82,NaN,80,71,85,85,84,NaN,NaN,NaN,75,NaN,82,NaN,71,86,82,NaN,88,NaN,NaN,88,72,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,92,93,-1,-1,NaN,NaN
402515022,NaN,NaN,85,NaN,60,NaN,60,NaN,60,73,78,54,NaN,NaN,50,66,68,NaN,NaN,70,NaN,NaN,72,63,NaN,NaN,NaN,69,66,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN
402515030,NaN,NaN,85,NaN,100,NaN,85,NaN,70,83,93,89,82,NaN,100,NaN,86,NaN,NaN,87,NaN,79,NaN,NaN,NaN,NaN,92,NaN,80,NaN,95,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402515032,NaN,NaN,85,NaN,74,NaN,70,NaN,91,90,92,NaN,NaN,NaN,92,NaN,81,NaN,95,NaN,91,NaN,NaN,90,NaN,NaN,86,80,91,NaN,95,NaN,NaN,NaN,NaN,99,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402515034,NaN,NaN,80,NaN,71,NaN,77,NaN,60,84,77,NaN,NaN,NaN,68,NaN,88,NaN,98,NaN,NaN,88,NaN,94,NaN,NaN,86,85,90,NaN,91,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402515040,NaN,NaN,80,NaN,63,NaN,63,NaN,65,82,80,NaN,NaN,NaN,NaN,66,76,NaN,NaN,82,82,NaN,NaN,NaN,NaN,NaN,86,87,72,NaN,NaN,NaN,NaN,NaN,NaN,86,81,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
402515042,NaN,NaN,85,NaN,97,NaN,81,NaN,80,91,89,NaN,NaN,84,98,NaN,80,NaN,NaN,78,90,NaN,100,NaN,NaN,NaN,90,79,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN
