id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6302015@行政法總論（一）@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302016@行政法總論（二）@2@1,6302025@所得稅法@2@1,6303012@公平交易法@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302009@消費者保護法@1@1,6302012@營業稅法@1@1,6302013@民法物權（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6304016@著作權法@1@1,6304027@法律實務(一)@1@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302020@民法債編總論（二）@2@1,6302024@法學英文@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303029@稅法實例演習@2@1,6304006@證券交易法@2@1,6303001@民法債編各論（一）@1@1,6303008@商事法總論及公司法@1@1,6303009@票據法@1@1,6303021@刑事訴訟法（一）@1@1,6303024@稅法總論@1@1,6303036@商標法@1@1,6303038@銀行法@1@1,6304007@國際私法（一）@1@1,6304015@行政救濟法@1@1,6304029@國際貿易法@1@1,6303002@民法債編各論（二）@2@1,6303015@金融法@2@1,6303022@刑事訴訟法（二）@2@1,6303034@法律倫理學@2@1,6303035@兩岸信託法@2@1,6303037@專利法@2@1,6304008@國際私法（二）@2@1,6304012@行政法實例演習@2@1,6302060@商事法@1@1,6304005@強制執行法@1@1,6304006@證券交易法@1@1,6304033@刑事證據法(一)@1@1,6304036@智慧財產權法實例演習@1@1,6304056@企業併購法@1@1,6303020@信託法@2@1,6303033@稅捐稽徵法@2@1,6303042@破產法暨消費者債務清理條例@2@1
402630043,99,87,74,85,55,90,87,88,73,NaN,80,70,89,NaN,78,82,NaN,NaN,87,NaN,80,85,NaN,89,82,83,85,NaN,86,86,89,NaN,79,82,92,77,90,71,78,NaN,77,87,86,84,73,93,NaN,60,NaN,88,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN
402630044,87,62,74,84,NaN,84,84,84,76,84,80,91,80,NaN,83,86,NaN,NaN,80,NaN,73,77,NaN,84,83,75,82,81,85,85,NaN,NaN,75,81,87,84,95,74,71,89,97,95,75,80,77,89,87,62,89,NaN,NaN,NaN,86,83,87,NaN,NaN,-1,NaN
402630045,77,65,63,NaN,75,73,72,79,70,NaN,NaN,71,87,NaN,84,80,NaN,89,72,NaN,77,84,NaN,66,76,72,70,72,76,82,NaN,NaN,60,76,71,74,81,60,NaN,NaN,77,98,80,78,77,86,NaN,60,NaN,NaN,91,82,78,NaN,NaN,NaN,NaN,NaN,NaN
402630046,79,86,68,84,NaN,83,69,83,71,93,80,88,84,NaN,73,77,86,NaN,72,NaN,77,82,81,85,81,77,85,86,84,83,NaN,NaN,76,88,82,81,80,79,NaN,NaN,86,98,68,91,76,80,NaN,68,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
402630047,73,70,67,75,75,70,76,71,40,62,NaN,73,84,NaN,63,65,82,83,67,NaN,69,NaN,NaN,53,67,60,60,NaN,51,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402630048,83,83,75,NaN,NaN,78,83,84,69,NaN,80,80,90,NaN,86,72,NaN,NaN,77,NaN,81,81,90,73,82,78,73,NaN,79,81,NaN,NaN,69,79,87,79,80,69,68,NaN,79,90,72,79,75,90,NaN,60,NaN,88,NaN,NaN,75,NaN,88,80,NaN,-1,NaN
402630049,87,84,74,NaN,75,86,78,83,80,NaN,NaN,73,85,NaN,90,82,NaN,NaN,77,NaN,80,80,NaN,74,88,77,74,-1,84,84,-1,NaN,78,83,90,79,80,67,NaN,NaN,93,82,76,82,69,82,NaN,61,NaN,NaN,NaN,NaN,84,82,86,NaN,NaN,-1,-1
402630050,71,85,67,86,NaN,81,69,83,65,83,80,80,NaN,NaN,91,75,NaN,NaN,70,NaN,77,83,94,75,81,76,74,NaN,75,74,NaN,NaN,77,76,84,79,65,60,NaN,NaN,73,96,70,82,71,82,NaN,60,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,-1,NaN
402630051,88,89,74,NaN,75,87,77,84,60,NaN,NaN,86,94,NaN,93,78,NaN,92,80,NaN,83,86,NaN,96,85,78,90,NaN,90,86,NaN,NaN,92,89,93,81,95,70,NaN,NaN,99,80,89,92,78,81,NaN,67,NaN,NaN,NaN,NaN,87,NaN,NaN,99,-1,-1,NaN
402630052,89,77,68,92,NaN,83,94,83,82,NaN,80,82,90,NaN,95,89,NaN,NaN,93,NaN,84,85,NaN,99,89,93,93,86,95,90,NaN,NaN,89,95,91,78,86,71,NaN,NaN,95,87,92,91,75,96,NaN,70,NaN,NaN,NaN,NaN,91,NaN,NaN,88,NaN,NaN,NaN
402630053,88,98,64,NaN,75,82,79,86,69,NaN,NaN,82,95,NaN,91,87,86,NaN,75,NaN,86,88,NaN,88,87,80,83,98,89,87,89,NaN,88,86,90,81,93,67,94,NaN,82,99,87,85,75,94,NaN,65,NaN,88,NaN,83,90,NaN,NaN,NaN,NaN,NaN,NaN
402630054,64,70,61,NaN,NaN,84,68,78,60,NaN,80,81,80,NaN,88,81,83,NaN,75,87,73,84,80,68,82,71,64,82,80,73,NaN,NaN,79,71,84,77,88,61,NaN,NaN,97,90,77,87,62,83,NaN,66,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN
402630003,61,90,66,79,80,66,60,85,65,83,NaN,70,85,NaN,74,71,NaN,82,75,NaN,70,NaN,NaN,75,78,78,69,NaN,-1,90,NaN,NaN,81,75,75,72,72,60,88,80,NaN,60,-1,75,-1,74,77,68,77,NaN,NaN,75,71,NaN,NaN,NaN,NaN,-1,-1
402630056,85,NaN,40,NaN,NaN,75,81,NaN,NaN,NaN,NaN,77,76,NaN,82,82,82,86,84,NaN,80,NaN,NaN,85,82,78,89,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402630057,NaN,NaN,81,78,84,71,NaN,NaN,76,75,NaN,73,83,NaN,71,80,88,NaN,79,NaN,70,81,NaN,61,75,73,72,NaN,79,78,NaN,NaN,67,65,81,76,83,60,76,NaN,81,NaN,71,79,60,78,NaN,62,NaN,87,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN
