id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252610@應用倫理學@1@1,1253203@懷疑論@1@1,1253923@彌爾@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1253926@柏克萊@2@1,1254304@知覺哲學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@2,1252100@形上學@1@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1254107@自由意志與相關議題@1@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@2,1252306@語言哲學@2@1,1252603@理由論@2@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253210@信念倫理@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254503@生物哲學概論@2@1
403125022,71,62,NaN,60,80,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,76,64,98,70,NaN,NaN,NaN,NaN,53,NaN,NaN,NaN,NaN,62,65,NaN,NaN,60,NaN,NaN,74,NaN,NaN,NaN,NaN,75,NaN,NaN,60,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1
403125023,92,100,95,98,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,100,98,100,NaN,97,100,NaN,95,NaN,NaN,90,NaN,NaN,NaN,100,97,NaN,NaN,98,97,95,NaN,NaN,NaN,NaN,NaN,99,95,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
403125024,85,67,NaN,72,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,82,-1,90,62,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,91,73,80,NaN,64,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,50,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
403125025,67,60,90,76,NaN,NaN,NaN,82,NaN,NaN,80,NaN,NaN,65,-1,NaN,82,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,100,83,NaN,NaN,76,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,83,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403125026,88,80,NaN,80,NaN,NaN,55,91,NaN,NaN,70,NaN,NaN,82,74,90,84,60,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,86,67,90,80,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
403125027,91,93,95,88,79,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,87,81,NaN,90,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,100,84,NaN,NaN,84,NaN,NaN,NaN,NaN,81,NaN,NaN,90,NaN,NaN,72,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403125028,92,98,NaN,94,93,NaN,NaN,95,NaN,NaN,NaN,NaN,100,92,99,95,97,92,88,90,NaN,NaN,NaN,NaN,NaN,NaN,100,91,NaN,90,97,95,NaN,96,97,NaN,NaN,NaN,96,NaN,NaN,100,95,93,NaN,100,-1,NaN,100,NaN,NaN,95,NaN,NaN,95,95,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1
403125029,83,82,90,97,90,NaN,NaN,84,NaN,NaN,NaN,92,NaN,85,65,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,83,94,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,97,83,NaN,NaN,NaN,83,NaN,100,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1
403125030,84,72,NaN,50,NaN,NaN,NaN,NaN,NaN,41,NaN,NaN,NaN,71,-1,85,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,-1,NaN,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN
403125031,74,45,90,73,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,100,80,38,NaN,60,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,15,60,NaN,NaN,60,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
