id,1251011@哲學概論（一）@1@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@1,1251406@基礎邏輯（上）@1@2,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252200@知識論@1@1,1252907@羅爾斯@1@1,1253937@存在主義@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@1,1251407@基礎邏輯（下）@2@2,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252306@語言哲學@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1252305@心靈哲學@1@1,1252306@語言哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1252927@蒯因@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252701@政治哲學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254113@當代分析哲學重要議題選讀@2@1,1254503@生物哲學概論@2@1
404125044,99,NaN,90,NaN,NaN,90,87,85,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125048,86,NaN,86,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,86,NaN,76,NaN,90,61,NaN,NaN,NaN,80,NaN,NaN,67,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
404125050,86,NaN,NaN,80,NaN,79,NaN,NaN,NaN,80,NaN,85,NaN,NaN,NaN,87,NaN,NaN,91,95,90,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,84,75,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
404125051,84,NaN,81,NaN,80,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,80,NaN,74,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125006,NaN,72,64,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,39,NaN,NaN,NaN,NaN,77,65,NaN,85,-1,NaN,NaN,NaN,70,NaN,NaN,60,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404125007,NaN,75,60,NaN,50,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,NaN,NaN,62,-1,NaN,60,60,NaN,-1,NaN,70,NaN,NaN,60,69,0,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125008,NaN,65,NaN,41,NaN,63,NaN,50,NaN,85,NaN,NaN,NaN,70,NaN,NaN,71,NaN,NaN,70,60,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,51,60,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404125009,NaN,85,NaN,76,90,75,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,71,NaN,24,NaN,78,NaN,NaN,NaN,NaN,88,NaN,77,82,NaN,NaN,NaN,NaN,NaN,71,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
404125010,NaN,86,97,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,14,NaN,NaN,NaN,NaN,88,84,NaN,80,NaN,NaN,NaN,NaN,NaN,4,NaN,73,74,0,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404125013,NaN,85,86,NaN,80,79,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,91,NaN,77,NaN,NaN,75,NaN,NaN,NaN,NaN,92,NaN,83,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
