id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901005@專長術科（一）@1@1,3901007@運動場館實習（一）@1@1,3901101@運動心理學@1@1,3901888@學系服務學習@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901006@專長術科（二）@2@1,3901008@運動場館實習（二）@2@1,3901102@運動教育學@2@1,3901888@學系服務學習@2@1,3903112@游泳@2@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902005@運動場館實習（三）@1@1,3902009@運動英語聽講@1@1,3902101@應用教練心理學@1@1,3902103@運動生理學@1@1,3902105@運動社會學@1@1,3903103@運動選材學@1@1,3903106@運動按摩學@1@1,3903107@運動員健康管理@1@1,3903109@運動教練學@1@1,3903115@桌球@1@1,3904101@運動技能學習@1@1,3904103@體育統計學@1@1,3904109@肌力訓練@1@1,3904110@足球@1@1,3904113@跆拳道@1@1,3902002@運動傷害與急救@2@1,3902004@專長術科（四）@2@1,3902006@運動場館實習（四）@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3902106@運動管理學@2@1,3902108@運動賽會與管理@2@1,3903007@運動資訊處理@2@1,3903104@運動營養學@2@1,3903105@運動行銷學@2@1,3903110@個人與團體運動指導訓練@2@1,3903114@網球@2@1,3903117@有氧舞蹈@2@1,3904114@競技運動競賽實務@2@1,3904116@排球@2@1,3904117@羽球@2@1,3904119@國術@2@1,3902107@運動場地規畫與管理@1@1,3903001@專長術科（五）@1@1,3903111@田徑@1@1,3903113@籃球@1@1,3904005@運動專業英語術語@1@1,3904008@運動資訊處理（二）@1@1,3904105@體育教材教法@1@1,3904108@運動裁判法@1@1,3904121@安全教育與急救@1@1,3904122@運動健身器材科技@1@1,3901103@體育學原理@2@1,3901104@棒(壘)球@2@1,3903004@專長術科（六）@2@1,3903005@體育英文@2@1,3903101@體適能與運動處方@2@1,3903102@運動技術分析@2@1,3903116@高爾夫@2@1,3904123@運動健康心理學@2@1,3901105@體操@1@1,3901109@撞球@1@1,3901110@體育行政@1@1,3902112@國術@1@1,3904001@專長術科（七）@1@1,3904118@體育課程設計@1@1,3902113@瑜珈@2@1,3904002@專長術科（八）@2@1,3902011@運動專業實習（二）@2@1,3902018@專長術科（四）-田徑@2@1
400736022,75,78,88,88,66,NaN,78,70,86,87,74,80,81,81,88,81,92,NaN,70,82,83,89,82,82,88,NaN,91,90,83,NaN,79,86,84,88,NaN,75,83,80,NaN,NaN,89,88,NaN,87,86,NaN,74,NaN,82,85,83,70,86,NaN,NaN,NaN,NaN,89,NaN,88,78,NaN,NaN,89,NaN,NaN,70,NaN,NaN,84,NaN,88,85,NaN,NaN
400736023,64,85,83,85,63,80,72,66,85,85,80,NaN,88,79,88,82,93,78,NaN,81,NaN,86,NaN,84,83,NaN,NaN,NaN,NaN,NaN,72,88,85,NaN,82,NaN,72,80,80,NaN,84,81,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,90,77,75,NaN,NaN,79,NaN,87,88,91,73,85,85,NaN,NaN,NaN,NaN,NaN,NaN,85,87,NaN,82,NaN,NaN
400736024,70,80,94,87,60,NaN,87,74,88,50,79,78,87,60,89,85,90,75,60,83,86,NaN,65,86,60,NaN,NaN,82,84,74,67,50,75,87,82,70,NaN,80,60,NaN,70,78,85,83,NaN,78,NaN,NaN,80,NaN,82,79,85,NaN,NaN,NaN,NaN,NaN,80,85,61,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,86,87,84
400736025,98,93,85,92,89,80,90,77,85,95,93,NaN,90,89,86,90,95,NaN,98,NaN,NaN,NaN,90,90,80,NaN,NaN,93,NaN,87,90,86,88,NaN,NaN,NaN,88,96,95,91,94,90,95,NaN,85,87,NaN,NaN,89,NaN,NaN,85,94,93,NaN,86,NaN,90,NaN,89,91,98,NaN,89,96,NaN,NaN,99,NaN,88,98,96,88,NaN,NaN
400736026,70,85,86,85,NaN,NaN,74,67,87,86,75,80,NaN,73,87,82,93,NaN,93,NaN,83,87,88,86,67,86,NaN,88,NaN,78,84,89,88,83,90,80,78,90,92,79,82,80,NaN,89,NaN,NaN,NaN,NaN,87,88,80,80,83,NaN,NaN,NaN,NaN,78,NaN,88,79,86,NaN,87,NaN,NaN,NaN,NaN,NaN,86,89,NaN,86,NaN,NaN
400736027,60,73,82,83,60,80,73,84,84,55,68,NaN,NaN,60,87,75,NaN,40,0,76,80,80,NaN,76,60,NaN,NaN,NaN,NaN,NaN,60,80,82,NaN,NaN,NaN,63,59,60,NaN,72,0,NaN,NaN,40,NaN,NaN,NaN,88,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,62,NaN,81,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400736028,60,80,82,75,60,NaN,81,80,85,88,82,80,88,73,86,88,82,79,71,72,82,85,83,78,60,NaN,NaN,NaN,NaN,81,75,85,81,82,NaN,NaN,80,80,80,93,NaN,78,84,NaN,NaN,NaN,NaN,NaN,82,NaN,80,72,80,NaN,NaN,80,NaN,80,NaN,81,78,NaN,NaN,85,88,NaN,NaN,NaN,NaN,84,85,NaN,83,NaN,NaN
400736029,60,78,90,78,57,80,81,62,80,80,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400736030,60,78,90,88,68,NaN,82,65,80,88,77,80,88,81,88,82,93,NaN,NaN,82,85,86,81,84,71,NaN,NaN,92,NaN,NaN,80,84,81,NaN,90,72,80,93,90,NaN,NaN,80,NaN,NaN,90,88,NaN,NaN,80,NaN,NaN,96,81,NaN,NaN,78,NaN,NaN,NaN,80,66,NaN,NaN,87,83,NaN,NaN,NaN,NaN,82,87,NaN,83,NaN,NaN
400736031,83,82,84,88,66,80,76,76,91,90,85,NaN,87,74,87,84,94,81,89,81,80,85,NaN,NaN,60,NaN,91,80,NaN,81,75,90,88,NaN,NaN,NaN,72,80,90,NaN,81,85,86,NaN,89,87,NaN,NaN,85,NaN,82,79,81,80,87,83,NaN,84,NaN,88,61,NaN,NaN,80,85,NaN,NaN,NaN,0,88,92,83,86,NaN,NaN
400736032,87,86,88,88,68,NaN,83,76,87,90,77,80,88,84,88,88,90,NaN,88,83,84,88,NaN,83,73,NaN,88,80,90,78,80,83,90,83,82,75,83,87,88,79,NaN,82,NaN,NaN,NaN,NaN,NaN,86,92,85,82,85,87,NaN,NaN,88,NaN,87,NaN,90,74,89,NaN,NaN,NaN,NaN,NaN,96,86,91,NaN,85,88,NaN,NaN
