id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102201@總體經濟學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102240@貨幣銀行學@2@2,5102401@管制經濟學@2@1,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102101@個體經濟學（一）@1@3,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102102@個體經濟學（二）@2@3,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5104101@個體經濟理論應用@2@1,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103620@亞太地區經濟@1@1,5103915@訊息經濟學@1@1,5103920@統計軟體應用@1@1,5101002@經濟學原理（二）@2@5,5101002@經濟學原理（二）@2@6,5103160@產業經濟學@2@1,5103308@高等統計學（二）@2@1,5103312@計量經濟學（二）@2@1,5103366@賽局理論（二）@2@1,5103920@統計軟體應用@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1,5104710@國際貿易實務@2@1
402510082,NaN,NaN,NaN,80,NaN,NaN,NaN,81,73,NaN,NaN,NaN,90,NaN,NaN,74,NaN,76,NaN,NaN,NaN,NaN,66,82,NaN,NaN,NaN,NaN,72,NaN,82,73,NaN,60,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,87,80,NaN,90,NaN,79,NaN,86,90,NaN,NaN,78,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
402510084,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,80,NaN,NaN,72,NaN,71,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,74,75,NaN,68,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510012,NaN,NaN,NaN,NaN,91,NaN,NaN,78,NaN,NaN,NaN,82,95,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,89,NaN,84,NaN,NaN,NaN,94,NaN,-1,77,NaN,68,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,94,80,NaN,88,NaN,94,NaN,74,96,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
402510014,NaN,NaN,NaN,NaN,78,NaN,NaN,69,NaN,NaN,NaN,79,NaN,90,68,NaN,76,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,72,NaN,NaN,80,NaN,NaN,NaN,89,NaN,NaN,64,NaN,NaN,NaN,86,NaN,88,87,63,93,NaN,NaN,NaN,85,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
402510018,NaN,NaN,NaN,NaN,87,NaN,NaN,69,NaN,NaN,NaN,83,NaN,90,70,72,75,NaN,NaN,NaN,NaN,NaN,84,NaN,60,NaN,60,72,54,NaN,70,64,NaN,55,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,87,73,NaN,90,NaN,81,90,60,NaN,NaN,NaN,80,NaN,NaN,79,-1,NaN,NaN,NaN,NaN,NaN
402510028,NaN,NaN,NaN,NaN,92,NaN,NaN,90,70,NaN,NaN,NaN,NaN,90,NaN,84,80,NaN,NaN,NaN,NaN,62,NaN,79,78,NaN,NaN,85,NaN,NaN,NaN,69,NaN,76,74,NaN,90,NaN,73,NaN,NaN,68,NaN,NaN,NaN,92,NaN,87,90,79,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510034,NaN,NaN,NaN,NaN,85,NaN,NaN,65,NaN,NaN,NaN,87,NaN,90,NaN,89,NaN,77,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,60,NaN,69,NaN,69,NaN,NaN,85,NaN,NaN,NaN,94,78,NaN,85,68,NaN,NaN,73,NaN,NaN,NaN,77,NaN,NaN,84,84,NaN,NaN,NaN,NaN,NaN
402510058,NaN,NaN,NaN,NaN,98,NaN,NaN,68,NaN,NaN,NaN,79,90,NaN,70,81,76,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,70,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,72,NaN,83,NaN,NaN,87,NaN,86,NaN,72,NaN,NaN,NaN,-1,71,NaN,NaN,79,NaN,NaN,-1,NaN,NaN
402510064,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,90,NaN,NaN,NaN,92,NaN,NaN,96,NaN,99,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,86,86,NaN,93,NaN,NaN,NaN,NaN,88,NaN,97,80,NaN,90,NaN,89,NaN,82,NaN,NaN,NaN,83,94,71,87,92,NaN,-1,NaN,NaN,-1
402510078,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,36,90,NaN,NaN,89,NaN,86,NaN,NaN,73,64,NaN,62,NaN,NaN,NaN,NaN,88,NaN,86,NaN,60,NaN,60,NaN,NaN,NaN,73,62,79,NaN,80,83,NaN,86,NaN,79,NaN,88,NaN,NaN,76,66,60,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
