id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5202003@統計學（一）@1@2,5202009@管理科學概論@1@1,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5202012@運籌管理@2@1,5203051@管理時事英文選讀（一）@2@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5203073@消費者行為@1@1,5202004@統計學（二）@2@1,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203078@非營利組織會計@2@1,5203082@期貨與選擇權實務@2@1,5203083@領導學@2@1,5203084@企業倫理@2@1,5204061@專案管理@2@1,5202007@民法概要@1@1,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5203002@人力資源管理@1@2,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204070@國際財務管理@1@1,5204071@非營利組織財務管理@1@1,5204076@人文思考與創造力@1@1,5202039@組織行為@2@1,5202039@組織行為@2@2,5203045@系統模擬@2@1,5203077@全面品質管理@2@1,5203079@行銷個案研討@2@1
403520048,81,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,87,NaN,87,92,NaN,93,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520050,76,NaN,NaN,66,NaN,NaN,NaN,60,67,NaN,61,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,64,87,NaN,NaN,72,71,NaN,64,NaN,35,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520052,77,NaN,NaN,79,NaN,NaN,NaN,70,NaN,77,74,NaN,70,NaN,80,NaN,85,NaN,NaN,NaN,NaN,75,79,NaN,63,NaN,NaN,NaN,65,NaN,75,NaN,-1,-1,85,NaN,-1,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520054,68,NaN,NaN,60,NaN,NaN,NaN,94,NaN,67,NaN,85,77,NaN,NaN,NaN,NaN,75,88,-1,NaN,84,93,NaN,NaN,91,NaN,NaN,81,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,74,NaN,NaN,92,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520058,77,NaN,NaN,72,NaN,NaN,NaN,68,73,NaN,68,NaN,-1,NaN,NaN,60,NaN,70,70,-1,NaN,70,84,NaN,NaN,76,85,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,-1,NaN,NaN,NaN,NaN
403520060,82,NaN,NaN,94,NaN,NaN,NaN,99,NaN,98,NaN,92,74,NaN,98,NaN,NaN,75,83,NaN,NaN,85,92,NaN,87,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520064,86,NaN,NaN,93,NaN,NaN,NaN,99,80,NaN,NaN,100,72,NaN,93,NaN,82,NaN,92,NaN,NaN,80,99,NaN,NaN,NaN,87,89,NaN,86,NaN,-1,NaN,68,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,NaN
403520066,76,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,76,61,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520068,72,NaN,NaN,71,NaN,NaN,NaN,82,NaN,78,85,NaN,NaN,NaN,72,NaN,82,NaN,62,NaN,82,NaN,90,NaN,NaN,94,96,NaN,68,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,90,NaN,91,NaN,88,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1
403520072,72,NaN,NaN,77,NaN,NaN,NaN,68,NaN,63,79,NaN,NaN,NaN,85,NaN,NaN,80,88,NaN,70,NaN,85,NaN,NaN,92,NaN,NaN,60,NaN,NaN,NaN,-1,-1,-1,91,85,NaN,NaN,76,79,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,-1,NaN,NaN
