id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201002@管理學@2@3,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5204061@專案管理@2@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202003@統計學（一）@1@2,5202007@民法概要@1@1,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5203056@管理時事英文選讀（二）@1@1,5204076@人文思考與創造力@1@1,5201016@經濟學原理(二)@2@1,5202004@統計學（二）@2@1,5202012@運籌管理@2@1,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5202039@組織行為@2@1,5202039@組織行為@2@2,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203051@管理時事英文選讀（一）@2@1,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203082@期貨與選擇權實務@2@1,5203083@領導學@2@1,5203084@企業倫理@2@1
404520001,NaN,76,64,NaN,90,NaN,NaN,-1,NaN,-1,20,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520003,NaN,73,NaN,79,90,NaN,NaN,76,NaN,89,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,89,NaN,82,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520005,NaN,78,86,NaN,90,NaN,NaN,75,NaN,82,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,87,87,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
404520007,NaN,73,54,NaN,90,NaN,NaN,75,NaN,83,NaN,79,NaN,-1,NaN,NaN,NaN,NaN,NaN,76,NaN,88,79,71,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404520008,NaN,71,70,NaN,NaN,NaN,NaN,-1,NaN,NaN,46,81,NaN,-1,NaN,96,NaN,NaN,NaN,NaN,NaN,71,88,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520013,NaN,68,71,NaN,90,NaN,NaN,64,NaN,72,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,88,78,67,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520015,NaN,87,NaN,82,90,NaN,NaN,81,NaN,73,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,84,NaN,84,74,85,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520017,NaN,73,73,NaN,90,NaN,NaN,72,NaN,62,NaN,79,NaN,83,NaN,NaN,NaN,NaN,NaN,77,NaN,84,83,69,NaN,69,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520019,NaN,84,72,NaN,90,NaN,NaN,82,NaN,62,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,81,89,NaN,75,68,NaN,89,NaN,NaN,NaN,68,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520022,NaN,82,82,NaN,NaN,NaN,82,NaN,NaN,100,NaN,95,NaN,NaN,81,NaN,95,-1,NaN,83,97,NaN,77,97,NaN,95,NaN,90,NaN,79,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520023,NaN,62,65,NaN,NaN,70,NaN,64,NaN,71,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,91,81,72,NaN,75,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
