id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201015@經濟學原理（一）@1@1,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201001@企業概論@2@1,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201016@經濟學原理(二)@2@1,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5203051@管理時事英文選讀（一）@2@1,5203078@非營利組織會計@2@1
405520077,NaN,74,NaN,64,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405520078,NaN,68,NaN,69,NaN,NaN,90,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520080,NaN,67,NaN,69,NaN,NaN,90,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520081,NaN,76,NaN,89,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520082,NaN,76,NaN,76,NaN,NaN,92,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520084,NaN,71,NaN,76,NaN,NaN,90,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520086,NaN,80,NaN,76,NaN,NaN,92,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405520089,NaN,86,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN
405520090,NaN,84,NaN,78,NaN,NaN,90,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405520091,NaN,58,NaN,51,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
