id,5261104@初級會計學（一）@1@2,5261104@初級會計學（一）@1@3,5261105@初級會計學（二）@2@1,5261105@初級會計學（二）@2@2,5261105@初級會計學（二）@2@3,5262100@中級會計學（一）@1@1,5262103@中級會計學（一）@1@1,5262203@公司法@1@1,5262207@採購管理@1@1,5262601@資料庫管理@1@1,5263100@成本及管理會計學（一）@1@1,5263504@租稅法規@1@1,5262101@中級會計學（二）@2@1,5262104@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262205@政府會計@2@1,5262300@系統分析與設計@2@1,5263106@成本及管理會計學（二）@2@1
404510032,NaN,77,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510034,NaN,67,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510036,NaN,72,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510038,NaN,92,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510042,NaN,78,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510044,NaN,64,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510046,NaN,86,NaN,NaN,89,NaN,81,NaN,NaN,NaN,84,NaN,NaN,-1,NaN,NaN,NaN,-1
404510048,NaN,96,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510050,NaN,76,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510052,NaN,75,NaN,NaN,79,NaN,90,NaN,NaN,NaN,69,NaN,NaN,-1,NaN,NaN,NaN,-1
404510054,NaN,73,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510056,NaN,74,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510058,NaN,71,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510060,NaN,90,NaN,NaN,99,NaN,99,NaN,NaN,NaN,86,NaN,NaN,-1,NaN,NaN,NaN,-1
404510064,NaN,61,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510070,NaN,81,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,-1
404510072,NaN,76,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510076,NaN,72,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510078,NaN,5,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510080,NaN,74,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510082,NaN,75,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510088,NaN,69,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510090,NaN,79,NaN,NaN,83,NaN,60,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,-1
404510092,NaN,85,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510094,NaN,61,NaN,NaN,73,NaN,70,NaN,NaN,NaN,75,NaN,NaN,-1,NaN,NaN,NaN,-1
404510096,NaN,80,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510098,NaN,18,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510100,NaN,37,NaN,NaN,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510104,NaN,88,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510106,NaN,72,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510102,NaN,77,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510113,NaN,83,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
