id,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3351019@傳播外文@1@1,3351888@學系服務學習@1@1,3351004@視聽傳播@2@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351016@創意與設計概論@2@1,3351020@媒介寫作（一）@2@1,3351020@媒介寫作（一）@2@2,3351021@媒介與社會@2@1,3351888@學系服務學習@2@1,3352001@資訊傳播@1@1,3352001@資訊傳播@1@2,3352005@媒介寫作（二）@1@1,3352005@媒介寫作（二）@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352019@進階視聽傳播@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3352029@影像寫作@1@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352031@廣告創意與製作@2@1,3353018@音樂、影像與展演@2@1,3353021@紀錄片與專題製作@2@1,3351022@社會學與傳播@1@1,3352028@廣告心理與行銷@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3354002@推廣製作專題@1@1,3352021@傳播典範人物@2@1,3352032@國際傳播@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353015@媒體思辨@2@1,3354003@資訊製作專題@1@1,3354015@畢業製作（一）@1@1,3351029@基礎聲音製作@2@1,3353023@調查報導@2@1,3354016@畢業製作@2@1,3352033@傳播倫理@1@1,3353022@華人電影專題研究@1@1,3353024@數位媒體製作實務(一)@1@1,3351025@創意短片製作@2@1,3353025@數位媒體製作實務(二)@2@1
401335022,60,NaN,61,83,NaN,NaN,81,NaN,0,63,39,NaN,NaN,60,76,80,94,NaN,NaN,80,62,72,NaN,NaN,67,NaN,60,NaN,74,78,NaN,NaN,NaN,NaN,NaN,63,71,71,75,81,85,83,NaN,60,60,81,25,NaN,75,81,80,NaN,82,NaN,NaN,NaN,NaN,NaN
401335024,92,NaN,75,83,NaN,82,79,NaN,75,67,NaN,87,NaN,86,63,64,83,NaN,NaN,97,85,NaN,NaN,78,NaN,82,NaN,90,84,80,NaN,NaN,90,83,NaN,74,87,87,78,85,91,85,NaN,93,93,83,NaN,NaN,NaN,87,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
401335025,73,87,NaN,85,NaN,82,83,98,85,72,NaN,84,88,NaN,81,NaN,91,NaN,85,NaN,87,87,NaN,NaN,77,84,86,92,97,NaN,NaN,84,NaN,NaN,NaN,79,89,89,88,91,NaN,NaN,NaN,86,86,85,87,NaN,80,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335026,60,NaN,61,85,70,77,72,NaN,76,62,55,87,NaN,84,67,61,79,NaN,83,NaN,68,NaN,NaN,71,58,63,0,73,80,75,72,NaN,81,64,NaN,NaN,71,71,79,83,NaN,NaN,NaN,63,63,85,NaN,NaN,60,74,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
401335027,92,88,NaN,84,78,NaN,85,90,82,70,75,86,89,NaN,75,NaN,83,NaN,86,NaN,86,77,NaN,NaN,74,77,NaN,90,78,81,NaN,NaN,NaN,NaN,NaN,NaN,84,84,NaN,89,90,NaN,73,90,90,83,85,NaN,NaN,85,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN
401335028,99,NaN,82,86,NaN,83,84,NaN,83,83,NaN,83,NaN,89,92,83,92,NaN,NaN,95,85,87,NaN,NaN,82,74,90,92,98,NaN,NaN,86,NaN,NaN,NaN,NaN,92,92,87,92,NaN,90,NaN,90,90,86,86,NaN,90,81,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
401335029,88,90,NaN,86,NaN,79,83,70,83,65,NaN,86,91,NaN,87,NaN,90,NaN,86,NaN,86,87,NaN,NaN,82,NaN,NaN,92,92,84,NaN,84,NaN,NaN,NaN,78,90,90,84,90,NaN,90,NaN,95,95,88,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335030,80,NaN,82,83,81,NaN,89,NaN,84,79,77,87,NaN,86,72,83,NaN,84,NaN,90,87,89,NaN,NaN,80,81,NaN,95,95,82,NaN,86,NaN,NaN,NaN,NaN,95,95,NaN,93,NaN,87,NaN,94,94,86,83,NaN,93,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335031,84,85,NaN,87,NaN,80,85,93,85,74,80,85,90,NaN,79,NaN,96,NaN,87,NaN,83,92,NaN,NaN,78,86,93,NaN,88,85,NaN,87,NaN,NaN,NaN,NaN,90,90,86,94,88,90,NaN,86,86,86,86,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
401335032,91,NaN,71,85,NaN,90,78,NaN,76,79,77,87,NaN,89,71,71,NaN,87,NaN,93,83,90,NaN,NaN,82,83,94,94,96,86,NaN,NaN,NaN,NaN,NaN,NaN,91,91,85,92,NaN,90,NaN,92,92,86,NaN,NaN,90,86,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
