id,4251010@化學工程概論@1@1,4251888@學系服務學習@1@1,4251020@化工質能均衡@2@1,4251888@學系服務學習@2@1,4251910@計算機概論@2@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252410@工程力學@1@1,4252700@生物學@1@1,4252710@生物化學@1@1,4252800@材料科學@1@1,4252912@化學工業安全概論@1@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4252810@無機材料物性@2@1,4252920@應用統計學@2@1,4253700@生物技術概論@2@1,4253720@生醫材料@2@1,4253400@單元操作與輸送現象（二）@1@1,4253410@化工熱力學@1@1,4253500@儀器分析@1@1,4253910@高分子概論@1@1,4253001@化工專題研究（一）@2@1,4253100@程序控制@2@1,4253402@化學工程實驗（一）@2@1,4253402@化學工程實驗（一）@2@2,4253403@單元操作與輸送現象（三）@2@1,4253501@儀器分析實驗@2@1,4253501@儀器分析實驗@2@2,4253730@分離程序@2@1,4253911@高分子加工概論@2@1,4253940@觸媒化學概論@2@1,4254410@化工反應工程@2@1,4253800@組織工程概論@1@1,4254001@化工專題研究（二）@1@1,4254100@程序設計@1@1,4254100@程序設計@1@2,4254402@化學工程實驗（二）@1@1,4254402@化學工程實驗（二）@1@2,4253910@高分子概論@2@1,4254200@化工學士畢業專題@2@1,4254500@組織工程實驗@2@1,4254970@專題討論與文獻選讀@2@1
402425013,75,77,81,NaN,81,68,74,82,76,NaN,75,85,64,76,NaN,NaN,77,NaN,83,85,83,NaN,NaN,84,92,NaN,75,NaN,86,NaN,92,-1,88,NaN,NaN,87,NaN,87,NaN,NaN,NaN,NaN,-1
402425014,71,NaN,60,87,NaN,61,65,NaN,62,NaN,66,NaN,44,-1,NaN,-1,66,NaN,28,62,61,NaN,NaN,-1,NaN,80,31,73,NaN,NaN,60,NaN,-1,NaN,NaN,NaN,61,NaN,80,NaN,NaN,NaN,-1
402425015,87,80,70,NaN,NaN,66,64,NaN,83,NaN,87,78,60,70,NaN,NaN,78,70,58,70,74,63,NaN,-1,82,NaN,60,NaN,85,NaN,-1,NaN,-1,NaN,NaN,60,NaN,77,NaN,NaN,NaN,-1,-1
402425016,93,NaN,78,86,NaN,75,94,NaN,94,NaN,89,84,94,85,NaN,92,NaN,82,83,74,91,87,88,84,NaN,85,79,84,NaN,NaN,83,92,88,93,NaN,NaN,74,NaN,88,NaN,NaN,NaN,-1
402425017,65,74,66,NaN,-1,74,60,NaN,NaN,NaN,70,65,60,66,NaN,-1,NaN,NaN,60,75,75,69,NaN,81,79,NaN,69,NaN,89,NaN,68,75,-1,NaN,NaN,85,NaN,80,NaN,NaN,NaN,NaN,-1
402425018,80,NaN,88,89,85,97,NaN,70,87,NaN,92,83,81,91,85,-1,NaN,74,92,83,85,77,86,81,NaN,91,85,89,NaN,NaN,NaN,-1,93,92,86,NaN,80,NaN,86,NaN,NaN,NaN,-1
402425019,86,86,93,NaN,NaN,98,64,81,NaN,NaN,99,82,88,96,NaN,83,NaN,NaN,93,87,98,98,88,95,86,NaN,99,NaN,91,NaN,92,-1,99,NaN,90,96,NaN,86,NaN,NaN,-1,NaN,-1
402425021,83,74,75,NaN,NaN,78,71,72,84,NaN,78,93,70,80,NaN,80,-1,NaN,83,86,86,81,NaN,86,88,NaN,82,NaN,88,NaN,90,-1,88,NaN,88,84,NaN,92,NaN,NaN,-1,NaN,-1
402425022,77,NaN,87,79,80,85,90,85,NaN,NaN,87,85,85,90,NaN,86,NaN,NaN,81,85,87,85,88,93,NaN,90,88,89,NaN,NaN,93,NaN,96,NaN,88,NaN,83,NaN,86,NaN,-1,NaN,-1
402425023,82,76,63,NaN,NaN,66,66,68,68,NaN,66,80,63,75,NaN,68,NaN,NaN,60,80,72,70,NaN,71,86,NaN,69,NaN,89,NaN,69,-1,65,NaN,NaN,79,NaN,82,NaN,NaN,NaN,NaN,-1
402425024,60,NaN,50,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402425025,80,86,60,NaN,NaN,35,51,NaN,60,NaN,60,75,37,65,NaN,42,NaN,NaN,33,68,58,68,NaN,42,79,NaN,22,NaN,81,NaN,60,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402425026,85,NaN,63,81,80,80,63,NaN,91,NaN,79,NaN,66,74,NaN,85,-1,74,72,77,78,81,NaN,71,NaN,88,62,89,NaN,NaN,74,80,70,NaN,NaN,NaN,71,NaN,84,NaN,NaN,-1,-1
