id,2501001@普通生物學（一）@1@1,2501002@普通生物學實驗（一）@1@1,2501003@普通化學@1@1,2501102@生物醫學導讀（一）@1@1,2501888@學系服務學習@1@1,2501004@普通生物學（二）@2@1,2501005@普通生物學實驗（二）@2@1,2501006@有機化學（一）@2@1,2501008@生物統計導論@2@1,2501103@生物醫學導讀(二)@2@1,2501888@學系服務學習@2@1,2502007@分子生物學@2@1,2501101@基礎醫學導論@1@1,2502001@有機化學（二）@1@1,2502011@生物化學（一）@1@1,2502014@生命科學實驗（一）@1@1,2502105@生物醫學應用@1@1,2503001@普通病毒學@1@1,2503007@微生物學@1@1,2502012@生物化學（二）@2@1,2502016@生命科學實驗（二）@2@1,2502017@生化分析@2@1,2502114@生物資訊概論@2@1,2503102@分子癌症學@2@1,2504116@神經科學探索@2@1,2502116@組織學@1@1,2503002@遺傳學@1@1,2503008@生命科學實驗（三）@1@1,2503106@專題研究實驗（一）@1@1,2503112@系統生物學概論@1@1,2503113@基礎藥理學@1@1,2503121@發育生物學@1@1,2503122@生命科學論文閱讀與寫作@1@1,2504115@基因技術產業實習@1@1,2502102@人體生理學@2@1,2503005@細胞生物學@2@1,2503006@免疫學@2@1,2503107@專題研究實驗（二）@2@1,2503110@結構生物學@2@1,2503123@模式生物之生物醫學研究@2@1,2504003@專題討論（二）@2@2
403250030,93,82,99,76,NaN,79,88,90,78,70,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250031,69,75,74,75,85,63,82,73,63,82,NaN,60,NaN,78,68,74,NaN,73,73,60,73,-1,60,NaN,NaN,NaN,67,76,NaN,NaN,73,70,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
403250032,83,91,87,NaN,NaN,85,90,89,87,83,81,76,NaN,84,76,87,81,86,74,60,96,82,83,NaN,NaN,NaN,87,90,90,77,73,79,89,90,-1,-1,-1,-1,-1,NaN,NaN
403250033,67,87,60,76,85,71,86,69,64,85,NaN,60,NaN,60,73,74,77,69,75,-1,73,60,75,NaN,NaN,NaN,77,79,NaN,83,71,72,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250034,85,88,74,83,NaN,73,94,88,68,NaN,81,73,NaN,64,68,83,79,83,73,61,87,61,NaN,NaN,NaN,NaN,75,82,NaN,NaN,73,81,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250035,82,91,87,88,85,76,87,98,80,87,NaN,64,NaN,NaN,61,85,NaN,75,86,-1,85,-1,NaN,NaN,NaN,NaN,71,85,NaN,95,72,69,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250036,64,80,60,89,NaN,70,90,78,69,82,79,NaN,NaN,83,26,75,81,NaN,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250037,80,89,83,91,85,80,90,86,84,96,NaN,83,NaN,88,74,86,83,80,84,66,92,94,80,NaN,NaN,NaN,68,86,95,88,62,79,89,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250038,65,86,64,83,NaN,74,80,76,57,70,70,72,NaN,90,65,73,75,85,81,60,70,77,60,NaN,NaN,NaN,69,71,86,84,60,76,75,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403250039,81,91,95,93,90,74,82,94,89,87,NaN,60,87,79,60,86,NaN,67,87,-1,92,NaN,-1,NaN,NaN,NaN,69,80,NaN,82,NaN,65,80,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250040,73,79,64,75,NaN,68,87,60,63,86,87,54,NaN,25,23,72,74,27,46,-1,75,-1,29,NaN,NaN,NaN,55,25,NaN,NaN,60,34,70,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403250042,65,70,60,NaN,NaN,63,79,72,53,73,79,60,NaN,65,60,69,NaN,68,78,-1,70,-1,66,NaN,NaN,NaN,68,82,86,64,55,64,78,NaN,-1,-1,-1,-1,-1,NaN,NaN
403250043,73,84,73,83,85,80,86,76,71,83,NaN,81,81,78,78,77,83,75,60,-1,85,71,85,NaN,NaN,NaN,70,79,90,81,65,71,80,NaN,-1,-1,-1,-1,-1,NaN,NaN
403250044,78,87,68,85,NaN,75,89,76,84,NaN,84,75,NaN,81,70,83,82,80,86,-1,86,-1,72,NaN,NaN,NaN,74,89,90,90,62,77,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
403250045,90,92,98,86,85,96,92,97,99,88,NaN,94,NaN,99,92,83,NaN,88,76,80,89,95,93,NaN,NaN,NaN,98,87,NaN,NaN,78,81,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403250046,79,88,88,87,NaN,79,91,88,84,NaN,84,86,84,77,80,79,83,75,72,70,96,86,81,NaN,NaN,NaN,83,80,90,75,72,76,87,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250047,65,85,65,79,85,60,89,71,64,76,NaN,55,84,65,62,83,77,73,63,-1,80,-1,-1,NaN,NaN,NaN,74,80,NaN,65,70,60,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250023,NaN,84,67,85,90,NaN,89,66,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250050,78,80,NaN,NaN,85,NaN,-1,73,NaN,69,NaN,69,NaN,NaN,NaN,72,NaN,65,78,NaN,74,-1,-1,NaN,NaN,NaN,63,80,NaN,NaN,55,70,80,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250052,57,NaN,63,NaN,NaN,-1,-1,71,NaN,72,-1,64,87,NaN,60,73,NaN,68,70,NaN,70,-1,NaN,NaN,NaN,NaN,63,73,NaN,NaN,70,NaN,83,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250049,NaN,NaN,NaN,NaN,85,NaN,NaN,97,NaN,NaN,NaN,85,NaN,92,76,77,86,90,98,80,85,80,72,NaN,NaN,NaN,75,82,88,78,88,81,82,90,-1,-1,-1,-1,-1,NaN,NaN
403250053,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,31,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,43,NaN,NaN,NaN,NaN,46,NaN,76,NaN,NaN,-1,NaN,NaN,-1,NaN,-1
