id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@2,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@2,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5152020@統計學（一）@1@1,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153173@金融倫理學@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5154210@投資組合分析@1@1,5154400@風險管理與保險@1@1,5151013@經濟學原理（二）@2@1,5152021@統計學（二）@2@1,5152101@財務管理（二）@2@3,5152200@投資學@2@1,5152300@貨幣銀行@2@1,5152400@商用軟體應用與設計@2@2,5153174@企業價值評估@2@1,5154180@國際財務管理@2@2,5154313@資本市場與基金組合管理@2@1,5154320@投資銀行@2@1,5154340@實質選擇權@2@1,5154661@財務預測@2@1,5153010@總體經濟學@1@2,5153300@金融市場與機構@1@1,5153340@期貨與選擇權@1@2,5154170@財務管理個案研究@1@1,5154170@財務管理個案研究@1@2,5154171@高階財務管理@1@1,5154441@不動產概論@1@1,5152101@財務管理（二）@2@1,5153100@財務理論與政策@2@1,5153351@財務風險管理@2@1,5154180@國際財務管理@2@1,5154411@人身風險與退休規畫@2@1,5154172@財務金融個案研究@1@1,5154172@財務金融個案研究@1@2,5154220@證券分析@1@1,5154314@金融風險與金控公司管理@1@1,5154171@高階財務管理@2@1,5154350@國際金融市場@1@1
400515063,77,NaN,80,87,79,62,NaN,NaN,80,78,NaN,NaN,NaN,NaN,NaN,77,80,84,NaN,80,78,88,NaN,NaN,NaN,NaN,93,NaN,85,NaN,82,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
400515064,84,NaN,NaN,NaN,NaN,66,NaN,82,NaN,NaN,92,NaN,84,NaN,90,NaN,83,82,91,71,70,91,71,NaN,67,92,NaN,NaN,79,NaN,NaN,NaN,NaN,94,91,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,90,92,NaN,82,NaN,NaN,NaN
400515065,71,NaN,80,NaN,87,62,NaN,NaN,NaN,78,NaN,NaN,94,NaN,NaN,99,76,88,93,NaN,78,89,NaN,NaN,93,NaN,91,NaN,88,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,81,NaN,NaN,85,84,NaN,NaN,NaN,NaN,NaN
400515067,90,80,NaN,100,90,85,NaN,NaN,98,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,82,99,NaN,NaN,NaN,NaN,NaN,90,NaN,88,NaN,90,NaN,NaN,NaN,NaN,95,96,NaN,NaN,89,NaN,NaN,NaN,92,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN
400515068,93,NaN,NaN,100,91,99,81,NaN,97,95,NaN,NaN,NaN,NaN,NaN,99,94,100,NaN,95,99,100,NaN,NaN,NaN,NaN,99,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,100,NaN,NaN
400515069,65,80,NaN,89,70,33,NaN,NaN,63,83,NaN,NaN,NaN,NaN,NaN,80,73,84,NaN,NaN,74,86,83,NaN,NaN,NaN,68,NaN,79,NaN,NaN,NaN,NaN,76,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,73,75,71,70,NaN,87,70,NaN,NaN,NaN
400515070,87,NaN,NaN,98,NaN,91,81,NaN,92,91,NaN,NaN,NaN,99,NaN,NaN,86,100,NaN,84,93,NaN,NaN,NaN,NaN,NaN,95,NaN,100,NaN,NaN,97,NaN,NaN,NaN,90,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,97,NaN,NaN,NaN,99
400515071,60,NaN,80,NaN,69,60,NaN,NaN,NaN,83,NaN,70,76,NaN,NaN,94,79,72,NaN,74,NaN,NaN,NaN,NaN,80,NaN,83,NaN,NaN,NaN,81,NaN,79,NaN,NaN,NaN,86,89,NaN,NaN,NaN,NaN,NaN,77,91,NaN,87,NaN,84,NaN,NaN,NaN,NaN
400515072,78,NaN,NaN,80,75,71,81,NaN,60,76,NaN,NaN,NaN,NaN,NaN,77,82,84,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,73,NaN,100,NaN,NaN,90,NaN,95,85,NaN,81,77,NaN,NaN,NaN,NaN,NaN,73,85,71,NaN,NaN,84,75,NaN,NaN,NaN
400515073,82,NaN,83,95,84,74,NaN,NaN,80,89,NaN,NaN,NaN,NaN,NaN,92,86,89,NaN,82,81,NaN,NaN,NaN,NaN,NaN,92,NaN,87,NaN,NaN,97,91,NaN,83,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,89,90,83,NaN,NaN,83,NaN,NaN,NaN,NaN
400515075,68,NaN,80,75,NaN,50,NaN,NaN,16,25,NaN,NaN,NaN,NaN,64,NaN,NaN,60,60,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,13,NaN,NaN,71,NaN,NaN,NaN,NaN
400515061,NaN,84,NaN,78,70,NaN,NaN,NaN,76,76,84,82,NaN,NaN,NaN,80,68,85,80,74,64,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,74,91,NaN,NaN,91,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400515077,93,80,NaN,NaN,NaN,84,NaN,NaN,NaN,84,NaN,NaN,86,NaN,NaN,94,84,81,NaN,78,64,96,NaN,NaN,78,NaN,93,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,95,NaN,NaN,84,100,NaN,NaN,NaN
400515078,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,95,NaN,75,87,67,78,84,NaN,NaN,NaN,NaN,75,NaN,81,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,81,NaN,NaN,89,91,NaN,NaN,NaN
400515079,NaN,85,NaN,NaN,84,NaN,NaN,NaN,NaN,80,NaN,73,90,NaN,NaN,86,77,77,NaN,87,76,84,78,NaN,86,NaN,87,NaN,NaN,NaN,NaN,NaN,75,NaN,65,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,71,72,NaN,85,NaN,NaN,NaN,NaN
400515080,NaN,80,NaN,100,84,NaN,NaN,NaN,72,87,NaN,NaN,NaN,NaN,NaN,85,83,77,NaN,82,75,86,NaN,NaN,NaN,NaN,94,NaN,83,NaN,85,NaN,71,NaN,80,NaN,87,NaN,NaN,NaN,NaN,74,NaN,73,83,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
400515081,NaN,80,NaN,NaN,91,NaN,NaN,NaN,NaN,83,NaN,74,NaN,NaN,NaN,87,83,94,82,NaN,72,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,92,96,97,90,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,90,88,86,NaN,NaN,84,NaN,NaN,NaN,NaN
400515082,NaN,80,NaN,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,71,73,80,67,NaN,NaN,64,60,NaN,NaN,61,70,81,NaN,81,NaN,77,NaN,80,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,70,NaN,NaN,79,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
