id,4301002@計算機概論@1@1,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301005@邏輯設計@1@2,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302003@電工實驗（一）@1@1,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4303042@數據通訊@1@1,4304004@工程倫理@1@1,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302013@電工實驗（二）@2@1,4302015@機率@2@1,4302016@計算機組織@2@1,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4302019@再生能源導論@2@1,4302020@通訊工程導論@2@1,4304004@工程倫理@2@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303013@電腦網路導論@1@1,4303024@離散數學@1@1,4303033@電磁科技導論@1@1,4303035@演算法導論@1@1,4303039@電機機械@1@1,4303043@電力電子導論@1@1,4302005@資料結構@2@1,4302016@計算機組織@2@2,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303016@電磁積體電路專題（一）@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4303038@數位訊號處理導論@2@1
403430022,73,89,73,NaN,NaN,95,NaN,70,NaN,NaN,NaN,84,80,98,94,NaN,96,97,89,NaN,90,93,90,NaN,NaN,99,99,NaN,83,97,92,-1,93,NaN,NaN,87,NaN,91,NaN,90,87,NaN,NaN,95,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430023,60,74,69,NaN,85,40,61,NaN,NaN,79,NaN,NaN,NaN,67,NaN,43,77,60,NaN,NaN,NaN,NaN,NaN,NaN,49,-1,67,68,NaN,76,66,NaN,89,NaN,74,82,-1,55,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430024,93,74,66,NaN,NaN,46,81,NaN,NaN,NaN,NaN,89,80,65,43,NaN,86,49,79,NaN,95,NaN,78,NaN,NaN,-1,NaN,NaN,NaN,76,-1,49,-1,NaN,NaN,87,-1,NaN,NaN,NaN,62,84,NaN,72,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430025,97,94,76,NaN,85,79,NaN,78,NaN,NaN,NaN,93,NaN,72,67,NaN,87,76,NaN,72,96,69,88,NaN,-1,NaN,97,70,NaN,97,70,-1,93,NaN,NaN,88,-1,64,NaN,69,74,NaN,NaN,68,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430027,85,93,NaN,67,85,74,NaN,76,NaN,87,NaN,NaN,NaN,60,NaN,68,80,63,22,NaN,75,17,63,85,NaN,-1,44,81,NaN,83,48,NaN,88,NaN,75,86,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430029,35,65,NaN,NaN,85,50,NaN,48,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430030,79,92,83,NaN,NaN,60,NaN,64,NaN,80,NaN,NaN,80,84,NaN,75,90,74,51,75,92,94,NaN,82,62,NaN,75,NaN,64,92,75,65,NaN,74,NaN,87,NaN,73,NaN,NaN,61,NaN,99,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403430031,91,97,86,NaN,85,68,NaN,60,NaN,90,NaN,NaN,NaN,100,NaN,88,95,73,NaN,82,96,78,88,NaN,82,NaN,99,90,NaN,96,79,95,97,NaN,NaN,89,NaN,76,91,NaN,77,NaN,NaN,92,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430032,60,68,72,NaN,NaN,60,NaN,60,NaN,73,NaN,NaN,80,61,33,48,71,65,13,NaN,NaN,NaN,NaN,NaN,37,-1,60,NaN,NaN,72,-1,52,NaN,76,NaN,85,NaN,60,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403430033,2,30,NaN,2,50,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430034,82,78,67,NaN,NaN,70,NaN,NaN,NaN,80,NaN,NaN,80,69,NaN,71,88,61,NaN,60,95,60,NaN,78,70,NaN,71,NaN,62,96,63,62,NaN,70,NaN,87,NaN,74,74,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430035,68,73,61,NaN,85,67,68,54,NaN,NaN,NaN,NaN,NaN,62,38,NaN,85,78,NaN,71,90,NaN,71,NaN,50,-1,62,-1,NaN,81,68,NaN,-1,NaN,NaN,81,-1,NaN,NaN,NaN,67,83,NaN,61,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430036,86,90,70,NaN,NaN,78,NaN,71,NaN,NaN,NaN,NaN,80,88,NaN,80,84,77,NaN,70,NaN,68,NaN,NaN,84,NaN,90,81,NaN,81,82,NaN,100,NaN,NaN,79,88,75,NaN,NaN,81,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
403430037,65,65,71,14,85,39,66,39,NaN,NaN,NaN,80,NaN,63,NaN,82,70,54,NaN,61,NaN,NaN,79,80,76,NaN,NaN,60,NaN,79,78,NaN,76,NaN,78,82,NaN,84,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
403430038,60,59,63,NaN,NaN,26,NaN,60,NaN,NaN,NaN,NaN,80,73,69,30,67,69,20,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430039,80,64,73,NaN,85,60,NaN,68,NaN,89,NaN,NaN,NaN,68,NaN,70,87,60,NaN,61,NaN,NaN,71,NaN,61,NaN,60,60,NaN,82,67,54,NaN,73,NaN,82,NaN,68,NaN,NaN,50,NaN,NaN,60,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
403430040,80,79,65,NaN,NaN,71,NaN,66,NaN,NaN,NaN,85,80,71,71,NaN,79,60,42,NaN,83,49,NaN,83,66,NaN,67,NaN,50,78,NaN,48,NaN,70,NaN,73,NaN,61,85,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403430041,81,75,NaN,79,85,70,NaN,60,NaN,NaN,NaN,NaN,NaN,87,NaN,81,69,79,NaN,60,NaN,67,84,NaN,84,NaN,92,69,NaN,79,76,NaN,89,NaN,NaN,82,NaN,69,NaN,NaN,72,NaN,NaN,74,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430042,79,88,NaN,62,NaN,64,NaN,60,NaN,84,NaN,NaN,80,61,NaN,72,90,62,NaN,61,NaN,60,69,88,NaN,69,NaN,71,NaN,84,68,53,96,NaN,74,85,NaN,78,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1
403430043,66,90,83,NaN,85,85,NaN,67,NaN,83,NaN,NaN,NaN,92,NaN,83,92,92,NaN,80,NaN,NaN,80,NaN,NaN,78,87,NaN,50,89,82,NaN,95,NaN,NaN,87,-1,86,NaN,NaN,81,NaN,NaN,87,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
403430044,69,64,63,NaN,NaN,46,65,48,NaN,NaN,NaN,75,80,62,NaN,73,70,65,NaN,NaN,NaN,NaN,76,77,74,NaN,63,60,NaN,67,64,NaN,88,NaN,69,82,NaN,62,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430045,60,67,70,57,85,60,70,56,NaN,83,NaN,NaN,NaN,74,NaN,73,78,73,NaN,NaN,89,60,NaN,NaN,NaN,79,81,64,NaN,79,69,NaN,NaN,97,NaN,84,86,70,90,NaN,NaN,NaN,95,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403430047,23,47,20,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430048,77,77,77,NaN,NaN,52,70,NaN,NaN,NaN,NaN,NaN,80,79,NaN,71,80,71,NaN,NaN,NaN,NaN,NaN,81,69,NaN,65,78,NaN,83,60,NaN,NaN,97,NaN,78,NaN,NaN,73,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430049,96,81,76,58,85,74,72,NaN,97,NaN,NaN,NaN,NaN,71,NaN,68,72,61,NaN,78,NaN,NaN,80,NaN,62,NaN,NaN,70,NaN,80,-1,60,63,NaN,NaN,82,NaN,64,NaN,NaN,64,88,NaN,83,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
