id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102025@民法親屬@1@1,6103071@法制史（一）@1@1,6104026@法律規訓與專業倫理（三）@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101057@法學英文@2@1,6101888@學系服務學習@2@1,6102026@民法繼承@2@1,6104028@多元文化與全球社會@2@1,6104075@法律倫理學@2@1,6101095@拉丁法諺（一）@1@1,6102001@法學方法論@1@1,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102043@行政法總論（一）@1@1,6102060@日文（一）@1@1,6102062@德文（一）@1@1,6103096@國際公法案例研究@1@1,6104076@多元文化與全球正義（一）@1@1,6101096@拉丁法諺(二)@2@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102061@日文（二）@2@1,6102063@德文（二）@2@1,6102065@法學英文 (二)@2@1,6103023@保險法@2@1,6103024@海商法@2@1,6104009@法理學（二）@2@1,6104029@多元文化與全球社會 (二)@2@1,6104036@生命、自由與尊嚴的思辨 (二)@2@1,6103022@票據法@1@1,6103025@民法債編各論（一）@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6103057@日文法學名著選讀（一）@1@1,6103083@公平交易法@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104002@法理學（一）@1@1,6104003@法律社會學導論@1@1,6104006@強制執行法@1@1,6104061@刑法實例演習（一）@1@1,6104080@網際網路：全球文化及跨國規範@1@1,6104084@新移民、弱勢族群與人性尊嚴（一）@1@1,6103026@民法債編各論（二）@2@1,6103034@刑事訴訟法（二）@2@1,6103042@民事訴訟法（二）@2@1,6103090@國際環境法@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104062@刑法實例演習（二）@2@1,6104081@網際網路：全球文化及跨國規範 (二)@2@1,6102050@刑法總則理論演習@1@1,6104014@國際私法@1@1,6102082@日文（二）@2@1,6104093@法律實習@2@1,6102064@法學英文（一）@1@1,6103077@刑法總則理論演習（二）@1@1
401610013,70,76,63,80,95,83,NaN,NaN,78,83,80,60,NaN,NaN,85,90,86,70,86,90,80,80,81,62,NaN,93,NaN,NaN,85,74,81,86,66,NaN,85,NaN,91,64,80,NaN,NaN,75,NaN,80,80,NaN,90,87,83,76,90,NaN,NaN,NaN,92,89,96,87,76,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN
401610014,80,80,69,79,NaN,80,NaN,NaN,76,89,81,71,NaN,90,67,77,75,NaN,82,71,80,78,77,63,NaN,97,NaN,NaN,NaN,55,66,85,60,NaN,93,NaN,92,91,83,NaN,NaN,71,70,82,NaN,NaN,NaN,91,83,88,90,NaN,NaN,NaN,84,86,NaN,NaN,69,82,NaN,NaN,92,NaN,NaN,NaN,NaN
401610015,65,78,80,76,90,87,84,NaN,82,89,78,74,NaN,NaN,60,83,79,NaN,86,88,80,85,72,65,90,NaN,95,NaN,NaN,61,75,81,64,89,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,79,NaN,78,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN
401610016,74,78,87,88,NaN,90,NaN,NaN,90,85,81,80,NaN,91,89,NaN,84,NaN,86,80,80,80,70,65,NaN,99,NaN,NaN,NaN,89,78,81,71,NaN,98,NaN,80,82,82,NaN,NaN,81,69,81,80,NaN,87,87,85,85,90,NaN,NaN,NaN,80,89,90,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610017,85,80,78,91,91,90,NaN,NaN,76,85,83,67,NaN,NaN,82,NaN,85,NaN,91,98,80,82,81,62,85,NaN,NaN,NaN,NaN,75,77,84,71,NaN,NaN,NaN,90,89,89,NaN,NaN,NaN,NaN,85,69,NaN,NaN,NaN,93,89,90,NaN,NaN,NaN,NaN,86,91,NaN,78,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN
401610018,60,78,63,67,NaN,83,78,NaN,74,82,72,61,NaN,90,84,NaN,NaN,NaN,77,61,67,81,69,62,84,NaN,90,NaN,NaN,50,71,83,63,90,NaN,NaN,78,75,80,NaN,NaN,60,62,77,65,NaN,NaN,60,80,79,91,75,NaN,NaN,77,81,87,NaN,NaN,0,NaN,72,68,NaN,NaN,NaN,NaN
401610020,64,70,70,60,NaN,60,NaN,NaN,72,60,69,74,68,91,72,NaN,76,NaN,80,76,72,78,71,62,70,NaN,NaN,NaN,NaN,69,74,82,64,80,NaN,NaN,77,60,76,NaN,NaN,62,62,77,78,NaN,NaN,60,81,81,90,69,NaN,NaN,76,86,75,87,60,0,NaN,NaN,83,NaN,NaN,NaN,NaN
401610021,62,74,74,82,90,83,NaN,NaN,84,80,77,80,NaN,NaN,80,82,80,NaN,79,80,68,76,73,63,80,NaN,NaN,NaN,NaN,80,70,82,64,80,NaN,NaN,75,75,82,NaN,NaN,70,80,82,89,NaN,NaN,61,86,82,87,NaN,NaN,86,77,82,80,NaN,80,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
401610022,71,72,54,84,NaN,66,NaN,NaN,74,70,78,67,NaN,90,76,NaN,81,NaN,74,63,63,76,70,60,66,NaN,NaN,NaN,NaN,69,70,78,65,83,NaN,NaN,75,70,80,NaN,NaN,60,72,80,67,NaN,NaN,62,85,87,87,NaN,NaN,88,76,83,92,NaN,68,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN
401610023,76,79,90,75,90,86,NaN,NaN,78,90,77,78,NaN,NaN,83,90,77,NaN,82,82,76,81,72,62,83,NaN,NaN,89,NaN,73,76,85,65,90,NaN,NaN,NaN,82,83,NaN,NaN,69,74,82,74,NaN,90,65,84,83,92,NaN,NaN,NaN,80,86,90,89,74,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
401610024,70,76,70,84,NaN,82,79,94,NaN,83,78,62,60,91,61,90,66,NaN,81,60,70,69,73,50,95,99,90,NaN,NaN,60,68,70,45,95,95,NaN,89,66,80,NaN,NaN,75,75,77,60,NaN,87,62,80,83,NaN,NaN,NaN,NaN,81,81,79,89,60,NaN,96,NaN,65,NaN,NaN,NaN,NaN
