id,2601101@普通化學（一）@1@4,2601107@普通化學實驗（一）@1@4,2601102@普通化學（二）@2@4,2601108@普通化學實驗（二）@2@4,2601101@普通化學（一）@1@1,2601101@普通化學（一）@1@2,2601107@普通化學實驗（一）@1@2,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2601102@普通化學（二）@2@1,2601102@普通化學（二）@2@2,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2601101@普通化學（一）@1@3,2603301@無機化學（一）@1@1,2603402@物理化學（二）@1@1,2603407@物理化學實驗（一）@1@1,2603512@化學儀器@1@1,2603601@生物化學（一）@1@1,2603711@材料化學導論@1@1,2601108@普通化學實驗（二）@2@1,2603302@無機化學（二）@2@1,2603403@物理化學（三）@2@1,2603408@物理化學實驗（二）@2@1,2603602@生物化學（二）@2@1,2604901@有機化學書報討論（一）@1@1,2601601@生物學@2@1,2604906@無機化學書報討論（二）@2@1
402235025,65,65,65,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235026,60,63,73,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235027,61,73,63,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235028,40,76,68,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235029,62,72,70,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235031,78,77,67,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235032,72,74,75,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235033,70,86,73,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235034,34,66,60,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235037,73,68,60,73,NaN,NaN,NaN,66,78,80,61,73,NaN,NaN,60,62,68,78,63,NaN,62,69,73,64,60,60,NaN,61,60,81,56,82,-1,-1
402235038,44,66,70,60,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235039,47,68,73,71,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235041,41,60,52,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
