id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302032@財經法律講座@2@1,6304004@金融法@2@1,6304020@法律倫理學@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302003@國際公法（一）@1@2,6302005@刑法分則（一）@1@1,6302007@刑法實例演習（一）@1@1,6302009@消費者保護法@1@1,6302013@民法物權（一）@1@1,6302015@行政法總論（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6303008@商事法總論及公司法@1@1,6303009@票據法@1@1,6303020@信託法@1@1,6303021@刑事訴訟法（一）@1@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302004@國際公法（二）@2@2,6302006@刑法分則（二）@2@1,6302008@刑法實例演習（二）@2@1,6302014@民法物權（二）@2@1,6302016@行政法總論（二）@2@1,6302018@英美法導論（二）@2@1,6302020@民法債編總論（二）@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303022@刑事訴訟法（二）@2@1,6303001@民法債編各論（一）@1@1,6303003@民事訴訟法（一）@1@1,6303005@商標專利法（一）@1@1,6303024@稅法總論@1@1,6304003@國際貿易法@1@1,6304007@國際私法（一）@1@1,6304015@行政救濟法@1@1,6304016@著作權法@1@1,6304023@商法實例演習（一）@1@1,6302025@所得稅法@2@1,6302058@國際公法@2@1,6303002@民法債編各論（二）@2@1,6303004@民事訴訟法（二）@2@1,6303006@商標專利法（二）@2@1,6303012@公平交易法@2@1,6303015@金融法@2@1,6303029@稅法實例演習@2@1,6303033@稅捐稽徵法@2@1,6303034@法律倫理學@2@1,6304008@國際私法（二）@2@1,6304024@商法實例演習(二)@2@1,6304025@兩岸企業併購法@2@1,6302012@營業稅法@1@1,6304006@證券交易法@1@1,6304027@法律實務(一)@1@1,6304029@國際貿易法@1@1,6304057@智慧財產權法重要案例研討@1@1,6302024@法學英文@2@1,6304005@強制執行法@2@1,6304023@商法實例演習（一）@2@1,6304028@民事審判實務@2@1,6304030@民事實體與程序法綜合演習@2@1,6303036@商標法@1@1,6303038@銀行法@1@1,6303037@專利法@2@1,6304012@行政法實例演習@2@1,6304056@企業併購法@1@1
400630022,70,73,74,NaN,NaN,81,81,69,76,85,NaN,NaN,NaN,67,79,NaN,82,76,84,84,96,68,84,89,91,NaN,79,73,81,NaN,76,69,87,98,NaN,80,92,83,82,87,85,70,89,NaN,NaN,98,91,NaN,NaN,NaN,78,88,72,NaN,88,NaN,93,91,NaN,NaN,NaN,NaN,92,NaN,91,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
400630023,70,65,76,NaN,81,69,86,73,NaN,NaN,NaN,NaN,NaN,65,77,NaN,86,73,NaN,86,92,NaN,77,90,86,82,86,79,86,NaN,78,75,88,87,NaN,74,83,89,85,89,87,74,92,NaN,NaN,80,92,NaN,NaN,NaN,93,94,67,NaN,89,90,NaN,93,NaN,NaN,NaN,NaN,82,NaN,76,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN
400630024,82,71,73,NaN,NaN,79,87,68,NaN,85,NaN,88,NaN,84,91,NaN,90,78,NaN,83,96,98,85,87,81,77,79,91,91,NaN,83,85,85,97,95,79,85,NaN,77,96,87,69,89,89,89,93,83,NaN,NaN,NaN,92,91,74,NaN,NaN,92,99,86,94,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630025,96,81,81,88,85,69,84,71,NaN,NaN,NaN,NaN,NaN,89,74,NaN,84,NaN,NaN,71,65,NaN,95,85,78,80,80,86,76,NaN,78,84,76,73,NaN,81,70,78,81,67,79,65,82,NaN,NaN,76,81,NaN,NaN,NaN,77,87,61,91,84,NaN,85,70,NaN,NaN,76,99,78,NaN,82,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630026,71,66,74,NaN,NaN,67,82,75,NaN,85,NaN,NaN,NaN,79,69,NaN,81,73,NaN,80,89,NaN,77,67,73,81,62,75,79,NaN,66,54,76,64,84,70,60,69,70,69,62,60,81,NaN,NaN,67,64,NaN,NaN,NaN,70,71,72,NaN,74,NaN,NaN,90,NaN,NaN,79,NaN,60,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630027,80,90,74,81,85,72,78,72,NaN,NaN,NaN,NaN,NaN,62,75,NaN,75,78,NaN,83,70,86,75,79,80,NaN,77,82,76,NaN,60,86,81,60,82,76,78,NaN,80,74,73,64,86,NaN,NaN,67,77,NaN,80,NaN,75,73,64,NaN,81,NaN,86,93,NaN,NaN,NaN,NaN,61,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630028,86,88,72,77,NaN,72,80,70,82,80,NaN,NaN,NaN,81,73,NaN,89,77,85,81,88,NaN,83,90,87,93,83,87,82,NaN,81,80,91,84,NaN,80,79,83,74,61,78,60,87,NaN,NaN,75,78,NaN,NaN,NaN,76,86,60,NaN,90,90,93,88,NaN,NaN,NaN,NaN,74,NaN,86,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630029,91,88,72,NaN,85,73,85,84,NaN,NaN,NaN,NaN,NaN,91,76,NaN,88,76,84,83,90,NaN,85,83,83,NaN,68,85,78,NaN,80,NaN,88,70,89,95,81,NaN,79,81,87,65,90,82,90,80,87,NaN,NaN,NaN,79,86,64,95,84,NaN,NaN,88,NaN,NaN,86,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630030,92,88,75,83,NaN,85,85,71,91,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630031,80,87,70,NaN,80,74,78,65,NaN,NaN,NaN,NaN,NaN,61,73,NaN,82,NaN,83,78,72,NaN,69,71,83,73,74,60,74,NaN,66,NaN,84,65,NaN,80,76,NaN,75,64,72,65,86,NaN,NaN,70,74,NaN,NaN,NaN,76,81,60,NaN,86,86,81,78,NaN,NaN,NaN,80,65,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
