id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202751@電子電路學（一）@2@1,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@2,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203104@機械設計@1@2,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204015@工具機概論@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203065@專題研究A(二)@2@1,4203067@專題研究C（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204054@專利侵害鑑定理論與實務@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204301@應用光學與實務@1@1,4204353@電腦輔助工程分析與實務運用@1@1,4203068@專題研究D（二）@2@1,4203755@機電專題實作(一)@2@1
402420027,60,61,NaN,63,NaN,65,NaN,60,66,NaN,NaN,47,78,NaN,NaN,71,19,88,69,68,64,68,77,NaN,NaN,76,69,60,NaN,61,NaN,83,NaN,NaN,NaN,NaN,62,NaN,NaN,69,NaN,66,NaN,NaN,91,NaN,78,NaN,NaN,75,NaN,-1,-1,-1,67,NaN,NaN,NaN,NaN,83,NaN,83,77,NaN,NaN,NaN,NaN
402420028,65,NaN,62,NaN,83,NaN,NaN,70,83,NaN,83,NaN,NaN,80,NaN,NaN,57,76,69,75,64,70,60,-1,18,64,72,55,67,60,81,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,72,60,51,NaN,54,67,NaN,80,NaN,72,NaN,NaN,NaN,-1,-1,60,NaN,NaN,-1,NaN,60,NaN,77,74,NaN,NaN,NaN,NaN
402420029,60,64,NaN,76,NaN,NaN,86,60,76,NaN,NaN,71,NaN,NaN,NaN,60,NaN,NaN,46,60,52,45,NaN,NaN,NaN,48,54,NaN,NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420031,60,70,NaN,90,NaN,NaN,90,60,61,NaN,NaN,91,NaN,NaN,NaN,NaN,34,NaN,44,39,43,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420032,81,NaN,72,NaN,85,NaN,NaN,95,NaN,92,NaN,92,NaN,80,NaN,NaN,77,86,79,86,80,93,63,NaN,NaN,92,91,86,82,77,89,NaN,NaN,NaN,NaN,86,80,NaN,84,75,91,NaN,NaN,86,NaN,92,NaN,NaN,89,86,88,-1,78,86,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,83,NaN,NaN,NaN,NaN
402420033,89,91,NaN,91,NaN,95,NaN,70,89,NaN,98,NaN,NaN,NaN,NaN,NaN,92,NaN,96,80,90,82,92,NaN,92,93,64,NaN,76,82,NaN,94,NaN,NaN,NaN,NaN,71,NaN,75,NaN,89,NaN,NaN,89,99,80,NaN,NaN,NaN,87,86,70,NaN,62,-1,NaN,NaN,-1,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420034,78,NaN,79,NaN,91,NaN,NaN,95,89,NaN,NaN,88,NaN,NaN,90,99,75,98,96,93,88,96,91,NaN,NaN,92,99,98,NaN,87,NaN,94,NaN,NaN,88,NaN,89,NaN,NaN,92,NaN,92,83,NaN,NaN,85,NaN,NaN,89,NaN,82,NaN,82,85,91,NaN,NaN,NaN,95,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420035,75,85,NaN,66,NaN,NaN,74,60,92,NaN,NaN,68,NaN,NaN,NaN,78,60,79,61,61,71,63,68,NaN,NaN,63,54,NaN,NaN,64,NaN,82,NaN,NaN,NaN,NaN,75,NaN,NaN,4,60,53,63,NaN,81,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,NaN,64,NaN,NaN,-1,NaN,66,NaN,82,60,86,NaN,NaN,NaN
402420037,75,74,NaN,84,NaN,90,NaN,60,78,NaN,NaN,71,NaN,NaN,NaN,NaN,65,84,61,60,90,71,67,-1,NaN,69,48,NaN,63,64,NaN,87,NaN,NaN,NaN,NaN,64,NaN,NaN,63,77,NaN,NaN,83,97,78,NaN,NaN,NaN,75,-1,-1,-1,-1,86,NaN,NaN,NaN,NaN,79,NaN,83,70,NaN,NaN,NaN,NaN
402420038,67,NaN,64,NaN,62,NaN,NaN,67,NaN,76,NaN,65,NaN,NaN,90,89,69,82,60,66,60,71,60,-1,NaN,60,66,NaN,NaN,68,NaN,89,78,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,60,68,NaN,74,NaN,79,NaN,NaN,NaN,NaN,NaN,-1,62,69,NaN,NaN,-1,NaN,NaN,78,NaN,60,NaN,NaN,NaN,NaN
