id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202053@視窗程式設計@2@1,4202751@電子電路學（一）@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4203151@機器動力學@2@1,4203602@流體力學（一）@2@1,4203754@訊號與影像處理導論@2@1
404420036,75,NaN,92,NaN,77,NaN,NaN,80,NaN,90,72,NaN,NaN,70,NaN,NaN,NaN,42,NaN,64,74,71,73,-1,-1,-1,NaN,-1,NaN,-1,NaN
404420038,68,NaN,84,NaN,73,NaN,NaN,-1,NaN,94,58,-1,NaN,70,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
404420039,79,89,NaN,85,NaN,88,NaN,76,90,NaN,NaN,93,NaN,NaN,NaN,NaN,-1,94,NaN,98,98,90,90,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420040,69,NaN,88,NaN,80,NaN,NaN,61,NaN,86,NaN,86,NaN,NaN,80,NaN,-1,72,NaN,90,86,76,84,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420041,56,91,NaN,62,NaN,NaN,75,60,90,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,54,85,65,12,63,66,-1,-1,NaN,-1,-1,NaN,-1,NaN
404420043,70,83,NaN,72,NaN,73,NaN,-1,92,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,45,33,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
404420044,64,NaN,85,NaN,81,NaN,NaN,42,NaN,92,90,NaN,NaN,70,NaN,NaN,NaN,63,90,84,60,73,51,-1,-1,-1,NaN,-1,NaN,-1,NaN
404420045,60,93,NaN,84,NaN,88,NaN,67,92,NaN,NaN,86,NaN,NaN,NaN,NaN,-1,71,NaN,78,66,61,78,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420046,62,NaN,91,NaN,65,NaN,NaN,61,NaN,88,NaN,NaN,83,NaN,80,NaN,-1,28,NaN,75,69,80,63,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420047,86,89,NaN,81,NaN,66,NaN,87,92,NaN,NaN,93,NaN,NaN,NaN,NaN,-1,76,81,88,93,71,86,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420048,67,NaN,84,NaN,83,NaN,NaN,63,NaN,88,NaN,80,NaN,NaN,80,NaN,-1,60,NaN,84,75,60,71,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420049,68,87,NaN,75,NaN,NaN,83,66,90,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,71,81,70,67,58,73,-1,-1,-1,-1,-1,NaN,-1,NaN
404420050,66,NaN,83,NaN,65,NaN,NaN,-1,NaN,86,59,-1,NaN,70,NaN,NaN,-1,60,NaN,64,70,66,65,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420053,67,67,NaN,67,NaN,NaN,64,-1,92,NaN,64,NaN,NaN,NaN,NaN,-1,-1,41,NaN,62,74,64,71,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420054,54,NaN,90,NaN,60,NaN,NaN,62,NaN,92,NaN,NaN,75,NaN,80,NaN,-1,44,75,60,71,30,48,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420055,82,91,NaN,67,NaN,76,NaN,64,90,NaN,NaN,NaN,78,NaN,NaN,NaN,-1,83,94,90,82,89,77,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420057,16,85,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,18,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404420058,67,NaN,84,NaN,67,NaN,NaN,74,NaN,90,NaN,NaN,79,70,NaN,NaN,NaN,88,NaN,70,78,87,81,-1,-1,-1,-1,-1,NaN,-1,NaN
404420059,79,92,NaN,79,NaN,81,NaN,85,92,NaN,85,NaN,NaN,NaN,NaN,NaN,-1,68,68,77,88,96,83,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420060,6,NaN,89,NaN,73,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,13,NaN,67,NaN,62,38,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
404420061,76,87,NaN,68,NaN,81,NaN,60,92,NaN,NaN,83,NaN,NaN,NaN,NaN,-1,87,68,83,85,86,86,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420062,54,NaN,82,NaN,63,NaN,NaN,61,NaN,90,NaN,89,NaN,NaN,80,NaN,-1,60,NaN,57,64,65,54,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420063,92,NaN,91,89,NaN,NaN,85,72,NaN,88,NaN,NaN,87,NaN,NaN,NaN,-1,96,NaN,98,87,80,90,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420064,75,NaN,90,NaN,77,NaN,NaN,70,NaN,88,90,NaN,NaN,NaN,80,NaN,NaN,67,92,76,70,NaN,60,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
404420065,72,85,NaN,68,NaN,NaN,83,70,92,NaN,NaN,80,NaN,NaN,NaN,NaN,-1,87,NaN,79,73,80,65,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420066,74,NaN,86,NaN,72,NaN,NaN,60,NaN,86,NaN,NaN,70,70,NaN,NaN,-1,72,NaN,65,73,64,62,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420067,71,94,NaN,67,NaN,87,NaN,80,90,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,75,90,91,72,76,66,-1,-1,-1,-1,-1,NaN,-1,NaN
404420068,73,NaN,92,NaN,80,NaN,NaN,62,NaN,90,66,NaN,NaN,70,NaN,NaN,-1,67,79,65,73,72,63,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420069,79,81,NaN,71,NaN,87,NaN,80,90,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,100,NaN,98,92,93,90,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420070,67,NaN,85,NaN,64,NaN,NaN,62,NaN,86,51,NaN,-1,NaN,80,NaN,NaN,23,65,60,64,52,52,-1,-1,-1,NaN,-1,NaN,-1,NaN
404420071,65,92,NaN,66,NaN,71,NaN,64,90,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,18,60,4,3,10,20,-1,-1,NaN,NaN,-1,NaN,-1,NaN
404420072,69,NaN,90,NaN,69,NaN,NaN,62,NaN,90,79,NaN,NaN,NaN,80,NaN,-1,61,NaN,68,60,76,60,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420073,52,86,NaN,63,NaN,79,NaN,60,92,NaN,58,NaN,-1,NaN,NaN,NaN,NaN,60,NaN,62,66,39,60,-1,-1,-1,NaN,-1,NaN,-1,NaN
404420074,95,NaN,92,NaN,70,NaN,NaN,90,NaN,90,NaN,77,NaN,70,NaN,NaN,-1,100,95,98,99,99,96,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420075,75,92,NaN,65,NaN,79,NaN,80,90,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,65,92,75,74,59,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404420076,85,NaN,92,NaN,79,NaN,NaN,84,NaN,86,NaN,89,NaN,70,NaN,NaN,-1,86,88,89,87,85,81,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420077,72,92,NaN,68,NaN,88,NaN,60,86,NaN,NaN,NaN,78,NaN,NaN,NaN,-1,49,NaN,64,63,63,51,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420078,93,NaN,87,NaN,71,NaN,NaN,87,NaN,94,NaN,85,NaN,70,NaN,90,79,99,99,97,99,99,94,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420079,55,82,NaN,67,NaN,88,NaN,38,90,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,60,NaN,64,70,68,60,-1,-1,-1,NaN,-1,NaN,-1,NaN
404420080,85,NaN,85,NaN,85,NaN,NaN,75,NaN,94,NaN,NaN,85,NaN,80,NaN,NaN,94,90,93,90,93,85,-1,-1,-1,-1,-1,NaN,-1,NaN
404420081,62,NaN,87,66,NaN,NaN,85,70,92,NaN,NaN,NaN,86,NaN,NaN,NaN,-1,65,NaN,80,75,64,68,-1,-1,-1,NaN,NaN,-1,-1,NaN
404420082,63,91,NaN,NaN,68,NaN,NaN,77,NaN,88,66,NaN,NaN,NaN,80,NaN,NaN,60,NaN,77,75,68,73,-1,-1,-1,NaN,-1,NaN,-1,NaN
404420083,82,94,NaN,83,NaN,NaN,85,64,90,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,61,88,83,79,72,78,-1,-1,-1,-1,-1,NaN,-1,NaN
404420084,87,88,NaN,NaN,80,NaN,NaN,80,90,NaN,75,NaN,NaN,NaN,80,NaN,-1,77,88,97,84,86,93,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420086,60,NaN,90,NaN,71,NaN,NaN,60,NaN,88,NaN,NaN,72,NaN,80,NaN,-1,60,NaN,68,64,67,69,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420087,85,91,NaN,73,NaN,90,NaN,88,92,NaN,NaN,79,NaN,NaN,NaN,NaN,-1,93,NaN,95,96,93,99,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420088,78,NaN,89,NaN,78,NaN,NaN,71,NaN,88,NaN,85,NaN,NaN,80,NaN,NaN,67,NaN,90,72,64,73,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420089,86,89,NaN,61,NaN,NaN,88,80,90,NaN,NaN,NaN,72,NaN,NaN,NaN,-1,82,NaN,76,91,84,80,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420090,74,NaN,87,NaN,72,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404420092,63,NaN,82,NaN,68,NaN,NaN,70,NaN,86,NaN,NaN,76,70,NaN,NaN,-1,65,86,61,72,60,67,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420093,70,87,NaN,83,NaN,NaN,72,61,90,NaN,NaN,NaN,84,NaN,NaN,NaN,-1,46,60,68,69,62,54,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420094,71,NaN,88,NaN,68,NaN,NaN,-1,NaN,86,NaN,91,NaN,70,NaN,NaN,-1,76,NaN,89,75,76,82,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420095,72,88,NaN,62,NaN,NaN,44,60,90,NaN,NaN,76,NaN,NaN,NaN,NaN,-1,60,42,60,52,61,54,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420096,73,NaN,82,NaN,60,NaN,NaN,60,NaN,88,NaN,79,NaN,NaN,80,NaN,NaN,60,NaN,65,69,58,66,-1,-1,-1,-1,-1,NaN,-1,NaN
