id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@5,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102301@統計學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@6,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102302@統計學（二）@2@1,5101001@經濟學原理（一）@1@4,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103620@亞太地區經濟@1@1,5103816@西洋經濟史@1@1,5101002@經濟學原理（二）@2@4,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@2,5103020@經濟思想史@2@1,5103312@計量經濟學（二）@2@1,5103366@賽局理論（二）@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1
404510088,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,92,85,NaN,NaN,NaN,96,NaN,NaN,87,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510089,NaN,NaN,NaN,NaN,69,90,NaN,87,NaN,NaN,70,NaN,NaN,-1,NaN,NaN,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510096,NaN,NaN,NaN,NaN,82,NaN,NaN,61,NaN,NaN,81,NaN,90,-1,NaN,NaN,80,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510097,NaN,NaN,NaN,NaN,65,NaN,85,71,NaN,-1,58,NaN,NaN,-1,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404510100,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,61,85,NaN,NaN,NaN,25,NaN,NaN,NaN,52,68,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404510104,NaN,NaN,NaN,NaN,90,NaN,NaN,75,NaN,NaN,90,95,NaN,79,NaN,90,NaN,NaN,NaN,90,NaN,74,70,NaN,NaN,87,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404510106,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,91,80,NaN,NaN,NaN,65,NaN,NaN,NaN,80,72,NaN,NaN,NaN,84,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510113,NaN,86,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
404510102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,91,NaN,96,NaN,NaN,94,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,60,NaN,NaN,48,NaN,NaN,NaN,NaN,62,75,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
