id,2101001@微積分（一）@1@1,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101002@微積分（二）@2@1,2101002@微積分（二）@2@9,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2101001@微積分（一）@1@4,2102001@高等微積分（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2103521@數值線性代數導論@1@1,2104553@線性規劃導論@1@1,2101001@微積分（一）@2@1,2101002@微積分（二）@2@4,2102001@高等微積分（一）@2@1,2102002@高等微積分（二）@2@1,2102201@微分方程（一）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103521@數值線性代數導論@2@1,2103522@微分方程數值方法@2@1,2103711@統計方法@2@1,2104402@近代數學專題（二）@2@1,2101001@微積分（一）@1@9,2102002@高等微積分（二）@1@1,2103101@複變函數論（一）@1@1,2103301@幾何學@1@1,2103401@近世代數（一）@1@1,2104201@偏微分方程導論@1@1,2103001@點集拓樸@2@1,2103404@離散數學@2@1,2103701@統計科學@2@1,2104401@近代數學專題（一）@2@1,2101002@微積分（二）@1@1,2101017@基礎生物數學@1@1,2103711@統計方法@1@1,2104701@統計推論@1@1,2103301@幾何學@2@1,2103302@幾何學(二)@2@1,2103402@近世代數（二）@2@1
402210034,45,54,NaN,60,NaN,NaN,49,78,NaN,60,46,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210035,61,70,76,67,NaN,72,72,NaN,NaN,60,74,NaN,64,76,63,NaN,NaN,NaN,56,79,66,84,NaN,NaN,NaN,NaN,NaN,75,NaN,75,NaN,72,74,74,64,78,NaN,NaN,NaN,70,NaN,NaN,NaN
402210036,70,73,NaN,75,NaN,78,74,95,NaN,92,87,87,72,89,73,NaN,NaN,NaN,61,72,60,81,NaN,NaN,NaN,NaN,NaN,NaN,73,45,80,72,67,92,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210037,67,75,89,65,NaN,82,62,NaN,NaN,70,65,88,61,73,74,NaN,NaN,NaN,61,69,60,81,NaN,NaN,60,NaN,NaN,NaN,70,71,76,55,NaN,84,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210039,81,77,95,87,NaN,60,87,NaN,NaN,66,66,85,71,85,72,NaN,NaN,NaN,61,63,64,84,NaN,NaN,NaN,NaN,NaN,NaN,60,67,82,72,NaN,NaN,73,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210040,78,68,NaN,60,NaN,60,60,84,NaN,62,29,63,48,NaN,NaN,NaN,NaN,NaN,53,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210041,66,60,93,76,NaN,NaN,65,NaN,NaN,62,73,83,75,72,75,NaN,NaN,NaN,60,89,65,81,NaN,NaN,83,NaN,NaN,NaN,60,77,NaN,91,NaN,83,85,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210042,60,70,NaN,61,NaN,60,47,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210043,50,61,90,60,NaN,60,60,NaN,NaN,66,60,64,71,72,60,60,NaN,NaN,57,63,62,80,NaN,NaN,NaN,NaN,NaN,48,55,66,NaN,NaN,-1,NaN,66,NaN,NaN,68,NaN,NaN,NaN,-1,-1
402210044,68,60,NaN,60,NaN,60,60,86,NaN,20,60,62,77,60,60,NaN,NaN,70,NaN,72,60,81,NaN,NaN,NaN,NaN,NaN,72,NaN,70,76,55,NaN,68,NaN,80,NaN,NaN,NaN,NaN,NaN,-1,-1
402210045,71,77,91,83,NaN,83,81,NaN,NaN,76,79,80,60,69,70,NaN,NaN,NaN,56,63,61,84,NaN,NaN,NaN,NaN,NaN,70,40,62,71,NaN,77,68,72,82,NaN,NaN,NaN,55,NaN,NaN,NaN
402210046,62,60,NaN,60,NaN,NaN,60,76,NaN,84,60,72,69,79,65,NaN,NaN,NaN,-1,61,62,NaN,NaN,62,NaN,NaN,NaN,NaN,43,8,73,NaN,66,60,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402210047,67,74,95,81,NaN,67,75,NaN,NaN,62,66,87,68,70,68,NaN,NaN,NaN,60,75,60,80,NaN,NaN,NaN,NaN,NaN,NaN,66,60,NaN,74,NaN,79,69,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210048,84,78,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210049,77,60,77,60,NaN,60,60,NaN,NaN,77,60,65,77,68,61,NaN,NaN,NaN,-1,81,-1,74,NaN,NaN,NaN,NaN,NaN,NaN,49,68,76,NaN,NaN,NaN,-1,70,NaN,NaN,NaN,NaN,NaN,-1,NaN
402210050,70,71,NaN,60,NaN,-1,70,85,NaN,20,60,78,77,73,68,50,NaN,71,NaN,73,60,84,NaN,NaN,68,NaN,NaN,64,66,72,NaN,NaN,NaN,71,NaN,80,NaN,NaN,NaN,70,NaN,NaN,NaN
402210052,NaN,NaN,30,NaN,NaN,NaN,-1,-1,NaN,94,87,86,83,90,NaN,NaN,NaN,NaN,90,-1,98,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN
