id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152014@FPGA數位設計實驗@1@1,4152014@FPGA數位設計實驗@1@2,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4153204@微處理機@1@1,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153901@計算機組織@2@1,4153901@計算機組織@2@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153205@電機機械@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153211@電腦網路導論@1@1,4153214@數據通訊@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153913@離散數學@1@1,4153916@多媒體系統導論@1@1,4153918@電磁科技導論@1@1,4153919@影像處理導論@1@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153015@微處理機實驗@2@1,4153016@通訊系統實驗@2@1,4153017@電磁工程實驗@2@1,4153018@電腦網路實驗@2@1,4153207@電磁波@2@1,4153209@計算機結構@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4153234@智慧型系統專題製作（一）@2@1,4153244@工程倫理@2@1,4153251@通訊系統專題（一）@2@1,4153252@電磁積體電路專題（一）@2@1,4153301@作業系統導論@2@1,4153306@數位訊號處理專題（一）@2@1,4153307@網路技術與應用專題（一）@2@1,4153308@能源與電力系統專題（一）@2@1,4153906@數位通訊導論@2@1,4154022@電力系統@2@1,4154028@超大型積體電路專題（一）@2@1,4152015@工數（三）︰複變@1@1,4153250@類比積體電路設計導論@1@1,4153255@演算法導論@1@1,4153304@電磁積體電路專題（二）@1@1,4154035@數位訊號處理專題（二）@1@1,4154036@超大型積體電路專題（二）@1@1,4154038@網路技術與應用專題（二）@1@1,4154039@通訊系統專題（二）@1@1,4154040@綠色能源專題（二）@1@1,4154041@能源與電力系統專題(二)@1@1,4152201@資料結構@2@1,4154102@電力與能源設備檢驗實務@2@1
402415011,NaN,61,90,NaN,NaN,62,NaN,92,NaN,74,NaN,85,NaN,NaN,63,NaN,NaN,72,60,60,NaN,NaN,81,NaN,83,NaN,61,67,NaN,NaN,77,73,NaN,81,NaN,77,NaN,80,56,NaN,60,NaN,77,77,NaN,66,NaN,61,NaN,NaN,88,94,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,-1
402415012,NaN,62,NaN,NaN,NaN,65,69,NaN,82,NaN,NaN,NaN,73,NaN,82,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415015,NaN,74,NaN,88,67,NaN,NaN,72,75,NaN,74,NaN,NaN,NaN,75,NaN,NaN,75,60,63,NaN,87,NaN,85,NaN,74,66,69,NaN,87,79,84,50,92,NaN,NaN,77,76,62,76,NaN,71,NaN,NaN,NaN,79,NaN,69,NaN,NaN,85,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1
402415016,NaN,76,NaN,NaN,71,NaN,NaN,82,80,NaN,67,NaN,NaN,NaN,76,100,NaN,69,87,72,NaN,70,NaN,82,NaN,84,77,90,NaN,NaN,86,NaN,83,NaN,76,NaN,76,66,71,NaN,74,-1,NaN,NaN,NaN,NaN,77,77,NaN,NaN,87,79,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402415018,NaN,93,NaN,NaN,NaN,97,89,NaN,97,NaN,NaN,NaN,86,NaN,96,NaN,90,76,84,99,NaN,90,NaN,NaN,95,100,93,NaN,97,95,91,NaN,84,94,NaN,94,NaN,80,99,NaN,94,NaN,91,NaN,NaN,NaN,NaN,96,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,90,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415019,NaN,95,90,NaN,NaN,81,NaN,78,NaN,60,NaN,84,NaN,NaN,77,NaN,NaN,75,60,80,NaN,77,NaN,NaN,81,60,67,93,NaN,64,77,NaN,88,79,NaN,68,NaN,73,61,NaN,63,88,NaN,NaN,NaN,NaN,81,60,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,87,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN
402415020,NaN,71,NaN,NaN,64,NaN,NaN,74,60,NaN,69,NaN,NaN,NaN,71,100,NaN,68,60,52,65,NaN,73,76,NaN,64,65,82,48,NaN,79,60,NaN,84,NaN,61,NaN,NaN,54,NaN,61,NaN,76,NaN,86,NaN,NaN,NaN,90,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,90,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402415022,NaN,61,NaN,NaN,NaN,69,NaN,66,78,NaN,64,NaN,NaN,NaN,78,100,NaN,75,93,82,NaN,79,NaN,79,NaN,83,74,NaN,62,NaN,98,NaN,76,NaN,100,NaN,78,85,65,94,NaN,NaN,NaN,NaN,NaN,79,NaN,87,60,NaN,94,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1
402415023,NaN,60,90,NaN,63,NaN,NaN,84,NaN,60,NaN,NaN,NaN,81,88,NaN,NaN,84,60,65,NaN,NaN,70,80,NaN,40,82,66,NaN,NaN,74,NaN,60,90,NaN,80,NaN,61,66,NaN,70,74,NaN,91,62,NaN,NaN,80,NaN,65,86,90,NaN,NaN,91,NaN,NaN,NaN,NaN,-1,91,NaN,90,NaN,81,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415026,81,29,NaN,NaN,NaN,NaN,70,NaN,NaN,60,NaN,66,NaN,NaN,39,10,NaN,NaN,26,52,NaN,NaN,65,NaN,NaN,NaN,21,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415027,NaN,83,90,NaN,NaN,61,50,69,73,NaN,NaN,NaN,72,NaN,60,NaN,NaN,71,60,65,NaN,NaN,65,NaN,90,60,61,NaN,60,76,NaN,NaN,60,NaN,60,NaN,70,NaN,65,62,NaN,61,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,82,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415028,NaN,73,NaN,NaN,NaN,78,60,NaN,72,NaN,71,NaN,NaN,NaN,70,80,NaN,75,82,NaN,95,83,NaN,87,NaN,83,87,NaN,76,97,95,94,NaN,96,NaN,NaN,78,85,86,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,96,NaN,99,NaN,96,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,93,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415032,NaN,74,NaN,NaN,NaN,78,62,NaN,70,NaN,75,NaN,NaN,NaN,81,90,NaN,78,79,91,NaN,NaN,88,NaN,87,82,78,NaN,74,NaN,89,NaN,70,92,NaN,NaN,89,NaN,61,79,NaN,NaN,96,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,98,NaN,99,NaN,NaN,97,86,NaN,NaN,NaN,NaN,NaN,96,96,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402415033,NaN,68,90,NaN,61,NaN,NaN,80,NaN,73,NaN,80,NaN,NaN,62,NaN,NaN,67,15,NaN,60,71,NaN,NaN,85,47,60,63,NaN,67,56,68,50,86,NaN,68,NaN,66,49,33,60,63,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,60,NaN,80,63,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415034,NaN,87,NaN,NaN,92,NaN,82,NaN,91,NaN,NaN,NaN,90,NaN,92,90,NaN,77,91,99,NaN,88,NaN,84,NaN,97,84,88,NaN,NaN,99,NaN,92,NaN,77,NaN,94,79,82,91,NaN,NaN,91,NaN,NaN,NaN,85,88,74,NaN,97,NaN,NaN,NaN,98,NaN,94,85,NaN,NaN,NaN,NaN,NaN,94,NaN,88,NaN,NaN,88,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,98,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402415036,NaN,78,NaN,NaN,66,NaN,68,NaN,72,NaN,77,NaN,NaN,NaN,73,NaN,90,79,64,67,NaN,74,NaN,81,NaN,68,68,67,NaN,68,77,60,NaN,86,NaN,91,NaN,NaN,60,NaN,77,NaN,71,NaN,NaN,NaN,NaN,79,70,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,88,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402415037,NaN,65,90,NaN,NaN,73,60,NaN,NaN,60,NaN,71,NaN,NaN,63,NaN,NaN,71,60,NaN,60,NaN,61,NaN,81,70,64,67,NaN,71,78,NaN,76,81,NaN,NaN,65,68,48,NaN,60,NaN,76,NaN,NaN,81,NaN,72,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,83,92,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN
402415040,NaN,84,NaN,NaN,74,NaN,68,NaN,89,NaN,79,NaN,NaN,NaN,77,90,NaN,67,73,77,NaN,NaN,79,84,NaN,76,68,71,NaN,NaN,90,67,NaN,89,NaN,91,NaN,68,73,NaN,91,NaN,71,NaN,81,70,NaN,81,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,84,NaN,NaN,-1,NaN,NaN,90,NaN,94,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN
402415044,NaN,74,NaN,NaN,NaN,63,NaN,93,70,NaN,69,NaN,NaN,NaN,60,90,NaN,79,24,60,NaN,75,NaN,83,NaN,72,70,61,NaN,NaN,76,-1,45,NaN,81,NaN,71,76,52,NaN,61,70,NaN,70,68,NaN,NaN,NaN,77,81,NaN,NaN,73,NaN,99,NaN,NaN,NaN,NaN,NaN,93,NaN,77,NaN,66,NaN,NaN,NaN,86,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415045,NaN,94,90,NaN,NaN,78,87,NaN,76,NaN,82,NaN,NaN,NaN,80,NaN,NaN,76,90,88,NaN,NaN,90,81,NaN,79,94,86,NaN,85,96,NaN,83,95,NaN,NaN,82,79,64,NaN,90,97,NaN,NaN,83,NaN,87,95,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,92,NaN,94,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,97,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402415046,NaN,71,NaN,NaN,NaN,71,80,NaN,NaN,64,NaN,87,NaN,NaN,60,100,NaN,73,60,47,72,79,NaN,NaN,91,60,60,NaN,60,71,78,66,16,81,NaN,91,NaN,76,55,-1,43,73,NaN,NaN,75,NaN,NaN,65,73,66,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415048,NaN,61,NaN,NaN,64,NaN,74,NaN,60,NaN,NaN,NaN,66,NaN,82,80,NaN,77,70,79,NaN,74,NaN,NaN,86,89,77,NaN,63,NaN,92,NaN,74,NaN,68,91,NaN,NaN,78,91,NaN,99,NaN,NaN,95,NaN,87,91,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,98,98,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1
402415049,NaN,68,NaN,88,81,NaN,66,NaN,NaN,79,NaN,NaN,NaN,83,85,NaN,NaN,78,82,93,NaN,90,NaN,NaN,86,88,83,NaN,66,NaN,100,NaN,86,NaN,90,NaN,82,NaN,72,86,NaN,97,NaN,NaN,95,NaN,85,94,NaN,NaN,100,NaN,NaN,99,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,98,99,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,100,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402415050,NaN,86,NaN,NaN,81,NaN,76,NaN,73,NaN,NaN,NaN,81,NaN,76,90,NaN,74,74,84,NaN,NaN,88,89,NaN,86,83,NaN,82,NaN,98,NaN,70,96,NaN,NaN,82,84,64,NaN,90,89,NaN,87,94,NaN,NaN,82,NaN,NaN,91,91,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,94,NaN,87,NaN,91,90,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402415051,NaN,76,NaN,88,63,NaN,NaN,83,80,NaN,91,NaN,NaN,NaN,65,NaN,NaN,70,60,73,NaN,75,NaN,86,NaN,60,65,NaN,67,90,64,NaN,62,NaN,70,72,NaN,69,60,NaN,72,68,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,85,NaN,NaN,NaN,87,NaN,NaN,86,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,88,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415053,NaN,84,NaN,88,70,NaN,67,NaN,86,NaN,NaN,NaN,79,NaN,94,NaN,NaN,73,65,NaN,85,NaN,76,NaN,90,92,87,NaN,87,79,96,NaN,82,NaN,100,NaN,78,85,82,89,NaN,NaN,94,NaN,NaN,84,NaN,83,86,NaN,NaN,NaN,NaN,NaN,98,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,-1
402415055,80,42,90,NaN,NaN,65,60,NaN,60,NaN,NaN,NaN,64,NaN,61,NaN,NaN,76,60,86,NaN,79,NaN,78,NaN,67,60,NaN,49,NaN,73,NaN,70,NaN,70,NaN,80,NaN,60,92,NaN,78,NaN,NaN,70,NaN,83,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,86,NaN,NaN,NaN,NaN,NaN,87,88,NaN,NaN,NaN,-1,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,-1,-1
402415058,NaN,76,NaN,NaN,NaN,68,NaN,93,NaN,64,NaN,77,NaN,NaN,68,80,NaN,78,43,NaN,60,84,NaN,85,NaN,66,61,76,44,74,-1,-1,40,89,52,78,NaN,-1,71,NaN,74,64,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,81,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402415060,NaN,67,NaN,NaN,63,NaN,62,NaN,60,NaN,71,NaN,NaN,NaN,73,NaN,80,73,62,71,NaN,75,NaN,81,NaN,60,63,NaN,63,NaN,82,NaN,64,NaN,71,NaN,78,79,60,64,NaN,NaN,63,NaN,NaN,61,NaN,64,NaN,NaN,73,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN
402415062,NaN,73,NaN,NaN,71,NaN,84,NaN,79,NaN,75,NaN,NaN,NaN,84,NaN,90,79,60,NaN,70,NaN,73,81,NaN,65,72,NaN,71,78,87,NaN,70,93,NaN,NaN,78,69,75,87,NaN,NaN,73,NaN,63,NaN,NaN,NaN,65,NaN,NaN,88,NaN,92,NaN,82,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415064,NaN,82,NaN,NaN,63,NaN,NaN,68,71,NaN,66,NaN,NaN,NaN,60,NaN,90,75,60,82,NaN,NaN,81,82,NaN,47,75,52,68,NaN,80,NaN,80,NaN,68,NaN,86,71,63,70,NaN,NaN,74,69,NaN,73,NaN,60,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,88,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1
402415065,70,48,NaN,88,NaN,60,NaN,74,45,65,NaN,NaN,49,79,75,NaN,NaN,73,87,76,NaN,73,NaN,NaN,81,NaN,66,NaN,61,NaN,-1,NaN,65,89,NaN,NaN,81,75,60,76,NaN,NaN,NaN,87,78,NaN,NaN,73,NaN,NaN,77,NaN,71,NaN,98,NaN,NaN,NaN,NaN,NaN,91,NaN,89,NaN,84,NaN,NaN,NaN,-1,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415066,70,30,NaN,NaN,NaN,71,60,NaN,NaN,73,NaN,72,NaN,NaN,74,NaN,90,64,60,NaN,70,NaN,71,NaN,80,65,64,NaN,82,68,74,NaN,62,87,NaN,68,NaN,70,62,NaN,65,70,NaN,NaN,NaN,NaN,76,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,87,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,86,10,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402415069,NaN,93,NaN,88,87,NaN,86,NaN,NaN,82,NaN,86,NaN,NaN,89,NaN,NaN,81,90,99,NaN,90,NaN,87,NaN,100,91,82,NaN,NaN,99,NaN,94,NaN,78,NaN,88,80,80,99,NaN,100,NaN,NaN,NaN,NaN,90,94,NaN,NaN,98,NaN,NaN,NaN,NaN,92,NaN,85,NaN,NaN,NaN,NaN,NaN,90,-1,95,NaN,NaN,88,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402415070,64,29,NaN,NaN,NaN,60,66,NaN,61,NaN,62,NaN,NaN,NaN,60,NaN,80,76,60,NaN,60,NaN,77,NaN,81,NaN,65,NaN,60,NaN,61,-1,40,73,NaN,85,NaN,73,63,NaN,76,NaN,70,NaN,NaN,80,NaN,67,60,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,80,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,-1
402415071,NaN,16,NaN,88,44,NaN,20,NaN,60,NaN,68,NaN,NaN,NaN,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415072,NaN,74,NaN,NaN,NaN,61,NaN,83,60,NaN,NaN,NaN,68,NaN,75,100,NaN,72,60,63,NaN,73,NaN,79,NaN,NaN,61,61,NaN,NaN,79,85,50,89,NaN,NaN,76,67,84,NaN,67,NaN,71,NaN,91,NaN,NaN,NaN,68,NaN,NaN,80,NaN,88,NaN,91,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,88,NaN,-1,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415073,NaN,91,NaN,88,77,NaN,80,NaN,NaN,70,NaN,85,NaN,NaN,85,NaN,NaN,73,97,99,NaN,NaN,88,NaN,90,82,86,87,NaN,NaN,96,NaN,88,NaN,75,92,NaN,NaN,65,NaN,99,100,NaN,NaN,NaN,NaN,76,92,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,88,NaN,92,NaN,NaN,-1,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,85,88,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402415075,NaN,69,90,NaN,61,NaN,NaN,73,60,NaN,NaN,NaN,69,NaN,71,NaN,NaN,72,18,52,60,75,NaN,NaN,85,49,60,62,NaN,67,NaN,71,NaN,NaN,60,67,NaN,68,57,NaN,82,60,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,80,76,NaN,94,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,80,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415081,NaN,60,90,NaN,60,NaN,77,NaN,NaN,74,NaN,79,NaN,NaN,62,NaN,NaN,67,60,64,NaN,NaN,71,NaN,82,69,63,68,NaN,NaN,69,NaN,72,84,NaN,NaN,78,NaN,60,NaN,64,NaN,77,NaN,NaN,NaN,86,66,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,80,NaN,60,NaN,NaN,82,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,86,60,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN
402415083,90,54,90,NaN,NaN,73,73,NaN,60,NaN,72,NaN,NaN,NaN,75,NaN,NaN,79,61,77,NaN,NaN,77,79,NaN,73,70,NaN,67,NaN,75,NaN,67,NaN,94,NaN,93,79,67,69,NaN,66,NaN,NaN,96,68,NaN,78,NaN,NaN,89,82,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN
