id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151013@經濟學原理（二）@2@1,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5153173@金融倫理學@1@1,5154441@不動產概論@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5152400@商用軟體應用與設計@2@2,5153351@財務風險管理@2@1,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153300@金融市場與機構@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5153340@期貨與選擇權@1@2,5154172@財務金融個案研究@1@1,5154220@證券分析@1@1,5154314@金融風險與金控公司管理@1@1,5154400@風險管理與保險@1@1,5152101@財務管理（二）@2@3,5153100@財務理論與政策@2@1,5154171@高階財務管理@2@1,5154180@國際財務管理@2@1,5154180@國際財務管理@2@2,5154340@實質選擇權@2@1,5154411@人身風險與退休規畫@2@1,5154661@財務預測@2@1,5154172@財務金融個案研究@1@2,5154210@投資組合分析@1@1,5154350@國際金融市場@1@1,5153174@企業價值評估@2@1,5154315@銀行管理@2@1,5154320@投資銀行@2@1,5154400@風險管理與保險@2@1
401515011,60,80,NaN,74,49,NaN,NaN,100,NaN,74,NaN,80,NaN,100,NaN,79,NaN,NaN,70,NaN,87,NaN,NaN,67,82,89,53,60,73,NaN,87,77,NaN,NaN,NaN,73,NaN,NaN,81,98,NaN,90,NaN,NaN,NaN,NaN,NaN,88,NaN
401515012,78,NaN,NaN,80,83,82,NaN,96,NaN,84,NaN,88,NaN,100,NaN,83,NaN,NaN,78,NaN,83,NaN,NaN,82,NaN,94,NaN,91,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,96,NaN,82,88,NaN,NaN,NaN,NaN,NaN,NaN
401515013,68,85,NaN,65,60,NaN,NaN,NaN,75,64,NaN,75,NaN,NaN,67,63,NaN,88,NaN,NaN,83,81,NaN,60,84,76,NaN,76,60,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,78,NaN,87,80,84,83,NaN,NaN,NaN,NaN,NaN
401515014,80,NaN,NaN,88,78,81,NaN,NaN,80,74,NaN,73,NaN,NaN,83,77,NaN,NaN,86,NaN,85,77,NaN,72,91,NaN,82,83,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,85,NaN,NaN,81,93,85,NaN,NaN,NaN,95,NaN
401515015,88,NaN,85,92,90,NaN,NaN,NaN,88,81,NaN,82,NaN,NaN,93,78,NaN,85,NaN,NaN,86,74,NaN,86,89,90,NaN,87,93,NaN,85,NaN,96,NaN,NaN,NaN,97,NaN,88,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401515016,70,NaN,NaN,80,48,81,NaN,NaN,64,89,NaN,62,NaN,NaN,73,67,NaN,81,NaN,NaN,NaN,60,NaN,65,72,75,NaN,76,60,NaN,87,NaN,NaN,NaN,NaN,75,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,80,NaN,NaN
401515017,90,NaN,80,92,80,NaN,NaN,NaN,96,81,NaN,86,NaN,NaN,100,85,NaN,NaN,84,NaN,87,NaN,NaN,83,90,NaN,92,92,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,85,87,NaN,NaN,NaN,NaN,NaN,NaN
401515018,90,NaN,NaN,86,81,NaN,82,NaN,84,85,NaN,77,NaN,NaN,89,91,NaN,95,NaN,NaN,84,NaN,NaN,91,90,NaN,90,95,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,83,89,NaN,NaN,NaN,NaN,NaN,NaN
401515019,66,NaN,80,63,65,NaN,NaN,NaN,68,70,NaN,89,NaN,NaN,98,76,NaN,90,NaN,NaN,84,NaN,NaN,83,NaN,82,NaN,89,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,98,NaN,NaN,89,93,NaN,NaN,NaN,NaN,NaN
401515020,76,NaN,NaN,78,78,NaN,82,NaN,76,70,NaN,81,NaN,NaN,71,76,NaN,73,NaN,NaN,92,NaN,NaN,70,82,73,NaN,62,60,NaN,NaN,NaN,NaN,NaN,NaN,87,81,76,NaN,NaN,NaN,70,88,NaN,NaN,NaN,NaN,NaN,NaN
401515025,76,80,NaN,NaN,75,NaN,NaN,NaN,80,78,NaN,85,NaN,NaN,85,76,NaN,87,NaN,NaN,84,31,NaN,86,84,NaN,91,84,73,NaN,NaN,NaN,NaN,NaN,NaN,94,92,NaN,89,NaN,NaN,74,83,97,92,NaN,NaN,NaN,NaN
401515027,67,80,NaN,NaN,48,NaN,NaN,NaN,60,NaN,63,82,80,52,64,NaN,60,73,NaN,NaN,81,66,NaN,68,83,NaN,72,73,NaN,76,87,NaN,NaN,NaN,NaN,80,83,69,NaN,88,NaN,NaN,NaN,56,70,NaN,NaN,60,NaN
401515029,73,85,NaN,85,77,NaN,NaN,NaN,60,66,NaN,92,NaN,NaN,-1,69,NaN,NaN,76,NaN,90,71,NaN,66,88,85,NaN,72,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,95,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN
401515030,84,NaN,NaN,82,87,83,NaN,NaN,90,82,NaN,86,NaN,85,NaN,88,NaN,90,NaN,93,NaN,100,NaN,88,90,NaN,92,NaN,NaN,83,NaN,86,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
