id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4201151@工程圖學（二）@2@3,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203066@專題研究B（二）@2@1,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203068@專題研究D（二）@2@1,4203105@機械設計實習@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204054@專利侵害鑑定理論與實務@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4203005@專題研究C（一）@1@1,4203104@機械設計@1@2,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204014@機械工程與綠色科技@1@1,4204015@工具機概論@1@1,4204109@機電整合與應用@1@1,4204301@應用光學與實務@1@1,4203067@專題研究C（二）@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4204353@電腦輔助工程分析與實務運用@1@1
401420027,86,98,NaN,81,NaN,88,NaN,85,66,NaN,76,NaN,NaN,NaN,89,73,86,97,89,85,NaN,73,NaN,NaN,75,92,77,NaN,84,NaN,78,NaN,88,NaN,89,NaN,85,90,91,88,NaN,93,86,NaN,NaN,NaN,NaN,77,NaN,NaN,78,NaN,90,87,NaN,82,85,NaN,NaN,NaN,84,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420028,63,NaN,87,73,NaN,NaN,NaN,67,NaN,86,NaN,74,91,NaN,76,88,64,65,60,64,NaN,75,NaN,80,60,74,NaN,NaN,60,NaN,69,NaN,88,NaN,NaN,NaN,88,NaN,NaN,73,77,NaN,90,84,NaN,67,NaN,NaN,80,NaN,81,NaN,44,81,NaN,79,NaN,NaN,NaN,NaN,NaN,76,89,NaN,73,NaN,NaN,NaN,NaN,NaN
401420029,67,71,NaN,NaN,60,NaN,92,67,60,NaN,58,84,NaN,NaN,60,NaN,66,60,63,60,NaN,60,NaN,69,60,69,NaN,NaN,68,NaN,66,84,NaN,NaN,NaN,NaN,71,NaN,NaN,63,65,NaN,NaN,NaN,NaN,28,90,NaN,70,NaN,NaN,69,NaN,67,NaN,80,83,NaN,NaN,NaN,63,NaN,89,71,66,NaN,NaN,NaN,NaN,NaN
401420030,80,NaN,82,78,NaN,NaN,NaN,80,NaN,71,NaN,77,81,NaN,88,30,78,95,79,87,NaN,100,NaN,64,71,85,78,98,NaN,NaN,83,NaN,74,NaN,NaN,NaN,60,NaN,74,76,87,NaN,NaN,85,NaN,86,NaN,78,NaN,NaN,NaN,67,70,78,NaN,84,86,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89
401420031,78,99,NaN,79,NaN,92,NaN,70,NaN,91,77,NaN,NaN,NaN,78,74,86,93,83,83,NaN,77,98,NaN,85,90,91,NaN,87,89,71,NaN,90,NaN,85,NaN,87,92,95,91,NaN,80,87,NaN,NaN,88,NaN,82,NaN,NaN,93,84,93,95,NaN,NaN,NaN,96,NaN,NaN,80,NaN,91,NaN,82,NaN,NaN,76,76,NaN
401420032,74,NaN,83,82,NaN,NaN,NaN,68,75,NaN,70,NaN,NaN,90,68,70,69,88,79,66,NaN,60,NaN,94,74,84,NaN,82,NaN,NaN,84,80,NaN,NaN,NaN,NaN,89,NaN,NaN,74,NaN,73,80,70,77,NaN,84,NaN,73,NaN,80,NaN,90,87,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,89,NaN,NaN,84,NaN,79,NaN,NaN
401420033,86,100,NaN,NaN,81,NaN,95,70,92,NaN,79,NaN,NaN,NaN,80,99,78,81,84,67,NaN,73,99,91,78,79,NaN,NaN,93,93,82,89,NaN,NaN,89,NaN,83,95,NaN,90,NaN,89,93,NaN,88,87,99,NaN,85,NaN,92,NaN,76,90,76,NaN,NaN,97,NaN,NaN,NaN,87,90,NaN,92,94,NaN,83,65,NaN
401420034,80,NaN,84,64,NaN,NaN,NaN,73,NaN,87,67,NaN,91,NaN,81,90,70,72,87,77,NaN,79,NaN,NaN,77,74,78,NaN,79,92,80,NaN,87,NaN,89,NaN,87,93,NaN,70,NaN,82,89,NaN,NaN,70,99,NaN,77,NaN,84,NaN,66,85,67,NaN,NaN,96,NaN,NaN,NaN,86,NaN,NaN,76,92,NaN,75,64,NaN
401420036,67,NaN,88,71,NaN,NaN,NaN,81,NaN,85,NaN,65,91,NaN,72,60,72,94,81,97,NaN,76,NaN,NaN,75,99,99,NaN,79,NaN,79,87,NaN,NaN,NaN,85,89,NaN,99,NaN,NaN,94,86,NaN,NaN,96,NaN,81,NaN,89,NaN,94,98,92,NaN,80,NaN,NaN,NaN,NaN,NaN,77,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420037,94,100,NaN,NaN,84,NaN,95,82,87,NaN,83,NaN,NaN,NaN,95,NaN,97,99,87,90,NaN,100,NaN,79,81,84,92,99,NaN,NaN,85,NaN,84,NaN,NaN,NaN,73,NaN,97,96,95,NaN,NaN,78,NaN,62,99,NaN,79,NaN,77,83,83,97,98,87,71,89,NaN,NaN,NaN,85,NaN,67,79,82,NaN,60,81,NaN
