id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3151510@睡眠管理@2@1,3151888@學系服務學習@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153309@道德發展@1@1,3153311@情緒心理學@1@1,3153503@心理藥物學@1@1,3153963@行為改變技術@1@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3152904@壓力調適：理論與實務@2@1,3153127@視聽覺心理學@2@1,3153261@語言心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3153003@心理測驗學理論@1@1,3153031@高齡學：多元面向探討@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3153104@設計心理學@2@1,3153302@青少年發展@2@1,3153312@兒童發展：推理與決策專題@2@1,3153751@組織行為學@2@1,3153911@優雅的銀髮生活：多層次照護環境之營造@2@1,3153912@台灣銀髮族照護政策與照護組織管理@2@1,3153913@補救教學專題@2@1,3153963@行為改變技術@2@1,3153965@諮商理論@2@1,3154502@睡眠管理@2@1,3153005@情緒與認知@1@1,3153103@認知心理學專題研究@1@1,3153907@臨床心理學見習@1@1,3154103@青年發展與探索@1@1,3153008@神經行銷學專題@2@1,3153105@認知心理學專題研究（二）@2@1,3153311@情緒心理學@2@1,3153104@設計心理學@1@1,3153965@諮商理論@1@1
401315019,89,85,69,79,88,NaN,90,97,87,NaN,73,NaN,91,90,92,85,92,87,87,NaN,86,97,87,NaN,86,96,90,NaN,NaN,NaN,NaN,95,89,98,94,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315021,74,62,60,87,81,NaN,60,77,91,NaN,75,NaN,70,67,89,60,70,70,89,NaN,72,NaN,NaN,NaN,60,94,75,NaN,NaN,80,NaN,78,82,NaN,82,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315022,68,67,60,85,NaN,73,67,72,61,NaN,NaN,87,65,61,61,61,60,38,NaN,NaN,67,65,NaN,31,48,72,NaN,NaN,NaN,NaN,56,61,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315024,90,86,72,77,NaN,NaN,86,88,96,NaN,NaN,96,88,94,90,79,87,95,89,NaN,NaN,NaN,NaN,86,86,99,NaN,NaN,90,90,87,97,NaN,NaN,85,92,NaN,NaN,NaN,NaN,NaN,92,NaN,90,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN
401315026,76,67,60,78,NaN,NaN,78,79,80,83,NaN,88,81,84,86,76,75,82,88,NaN,89,85,NaN,68,79,93,NaN,NaN,NaN,NaN,NaN,83,NaN,98,90,86,NaN,NaN,NaN,NaN,NaN,NaN,88,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315027,99,81,86,79,91,NaN,NaN,99,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315028,98,80,84,77,NaN,74,100,99,90,NaN,NaN,79,85,98,95,90,75,95,88,NaN,94,90,NaN,77,94,92,84,86,NaN,NaN,80,92,90,NaN,94,82,NaN,NaN,92,90,80,91,NaN,91,85,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
401315029,95,73,64,80,96,NaN,96,97,84,NaN,NaN,NaN,90,97,100,85,90,81,89,NaN,88,NaN,NaN,82,89,96,85,NaN,NaN,NaN,NaN,86,90,NaN,92,90,NaN,90,NaN,NaN,87,94,NaN,88,83,NaN,91,NaN,NaN,NaN,91,NaN,NaN,NaN
401315030,76,72,65,80,NaN,NaN,68,80,60,NaN,NaN,87,60,79,79,68,70,80,91,NaN,60,NaN,NaN,60,60,88,NaN,NaN,79,NaN,58,76,80,NaN,79,81,NaN,NaN,62,65,NaN,90,NaN,75,75,NaN,90,NaN,NaN,92,91,NaN,NaN,NaN
401315031,76,60,60,96,87,NaN,80,78,53,70,75,NaN,61,68,78,71,78,70,84,NaN,NaN,NaN,NaN,NaN,61,87,NaN,NaN,NaN,NaN,NaN,72,NaN,82,75,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,72,NaN,NaN
401315032,91,80,60,78,NaN,NaN,94,83,77,NaN,NaN,71,91,84,81,85,80,79,88,NaN,66,NaN,NaN,75,93,96,81,NaN,NaN,NaN,NaN,93,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315033,99,86,79,NaN,90,NaN,91,97,94,93,75,NaN,94,86,91,85,97,86,86,NaN,NaN,91,81,82,83,91,61,NaN,NaN,NaN,NaN,79,84,95,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315034,74,77,60,78,NaN,NaN,74,87,63,NaN,NaN,88,65,64,72,63,65,79,90,NaN,80,NaN,NaN,65,62,79,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,90,92,NaN,NaN,96,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
