id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5101002@經濟學原理（二）@2@3,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@5,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103915@訊息經濟學@1@1,5104920@經濟政策@1@1,5103160@產業經濟學@2@1,5103312@計量經濟學（二）@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104710@國際貿易實務@2@1,5103307@高等統計學（一）@1@1,5103620@亞太地區經濟@1@1,5103920@統計軟體應用@1@1,5103308@高等統計學（二）@2@1,5103366@賽局理論（二）@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1
401510069,NaN,77,NaN,NaN,NaN,68,NaN,69,NaN,NaN,NaN,NaN,76,NaN,60,NaN,NaN,70,68,NaN,96,NaN,70,NaN,NaN,61,NaN,NaN,64,NaN,74,71,NaN,NaN,65,NaN,87,62,NaN,73,NaN,91,NaN,95,NaN,NaN,NaN,75,NaN,NaN,NaN,87,NaN,97,81,NaN,NaN,NaN
401510078,NaN,69,NaN,NaN,NaN,NaN,64,52,NaN,NaN,NaN,70,NaN,69,NaN,67,NaN,84,70,NaN,90,NaN,64,NaN,83,78,NaN,64,NaN,NaN,65,71,NaN,NaN,63,NaN,NaN,65,NaN,73,NaN,93,NaN,98,NaN,NaN,NaN,NaN,93,NaN,NaN,100,NaN,NaN,86,NaN,NaN,NaN
401510082,NaN,40,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510085,NaN,76,NaN,NaN,NaN,76,NaN,70,NaN,NaN,NaN,NaN,72,NaN,61,NaN,NaN,60,80,NaN,NaN,NaN,87,NaN,NaN,69,NaN,75,NaN,NaN,68,77,NaN,NaN,NaN,NaN,81,77,NaN,80,NaN,93,NaN,92,81,NaN,95,NaN,NaN,65,80,NaN,NaN,NaN,NaN,80,NaN,NaN
401510089,NaN,85,NaN,NaN,89,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,70,NaN,70,NaN,75,77,NaN,80,NaN,NaN,72,83,NaN,80,70,NaN,NaN,68,75,NaN,NaN,66,NaN,NaN,NaN,74,75,81,NaN,65,NaN,NaN,NaN,71,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510091,NaN,89,NaN,NaN,89,NaN,NaN,78,NaN,NaN,NaN,NaN,76,NaN,76,NaN,NaN,93,94,83,NaN,NaN,85,NaN,NaN,66,NaN,67,NaN,NaN,80,86,95,NaN,NaN,NaN,68,NaN,77,85,80,NaN,64,NaN,86,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510096,NaN,86,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,84,73,NaN,78,NaN,NaN,71,80,NaN,NaN,NaN,84,NaN,83,73,NaN,79,NaN,73,NaN,73,84,60,67,NaN,83,70,NaN,70,NaN,88,NaN,90,87,NaN,88,NaN,89,72,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
401510100,NaN,60,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,67,70,49,64,NaN,NaN,60,10,67,NaN,NaN,50,74,60,60,NaN,64,NaN,NaN,60,71,NaN,NaN,63,NaN,NaN,51,60,66,72,NaN,60,NaN,NaN,84,78,NaN,NaN,60,83,NaN,NaN,NaN,NaN,50,NaN,NaN
401510101,NaN,80,NaN,NaN,NaN,100,NaN,77,NaN,NaN,NaN,NaN,NaN,71,63,NaN,NaN,65,78,NaN,90,NaN,86,NaN,NaN,70,NaN,72,NaN,NaN,80,70,72,NaN,NaN,NaN,NaN,61,NaN,75,NaN,89,NaN,87,72,NaN,NaN,NaN,NaN,62,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
401510106,NaN,95,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,88,87,NaN,84,NaN,NaN,78,93,NaN,99,NaN,97,NaN,83,84,NaN,80,NaN,NaN,81,80,NaN,NaN,80,NaN,90,85,NaN,92,NaN,94,NaN,95,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510014,NaN,NaN,60,NaN,NaN,NaN,67,NaN,NaN,NaN,85,NaN,NaN,76,73,NaN,NaN,73,85,62,NaN,NaN,74,NaN,83,62,NaN,74,NaN,NaN,74,78,73,63,NaN,NaN,NaN,NaN,78,62,73,NaN,65,NaN,73,NaN,83,NaN,83,NaN,NaN,NaN,89,NaN,NaN,79,NaN,NaN
401510042,NaN,NaN,61,NaN,NaN,NaN,51,65,58,NaN,90,NaN,NaN,60,60,NaN,NaN,63,82,75,60,NaN,NaN,69,71,52,66,62,NaN,NaN,64,NaN,67,40,NaN,NaN,65,60,NaN,NaN,78,NaN,70,NaN,61,NaN,NaN,NaN,94,62,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
401510044,NaN,NaN,NaN,60,NaN,NaN,69,NaN,NaN,NaN,50,87,84,48,61,NaN,NaN,72,82,NaN,85,NaN,66,NaN,86,60,NaN,62,NaN,NaN,62,72,NaN,67,60,NaN,NaN,63,NaN,65,NaN,89,NaN,88,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510066,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,96,NaN,90,NaN,99,NaN,96,NaN,NaN,92,NaN,NaN,90,NaN,99,NaN,90,92,NaN,95,NaN,NaN,98,NaN,NaN,NaN,75,NaN,80,NaN,95,99,91,NaN,88,NaN,NaN,NaN,92,NaN,NaN,96,NaN,NaN,92,NaN,NaN,NaN,87,NaN
401510073,NaN,NaN,NaN,74,NaN,92,NaN,NaN,NaN,80,NaN,NaN,88,NaN,80,NaN,NaN,93,80,NaN,NaN,NaN,93,NaN,NaN,82,NaN,72,NaN,88,NaN,85,NaN,NaN,79,NaN,96,91,NaN,98,NaN,93,NaN,93,NaN,NaN,86,97,NaN,86,NaN,97,NaN,NaN,95,NaN,NaN,NaN
