id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102062@資料結構@1@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4101031@程式設計（一）@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103026@多媒體技術概論@1@1,4103069@易數邏輯@1@1,4102013@機率論@2@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103039@電腦網路概論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4102013@機率論@1@1,4102013@機率論@1@2,4103001@作業系統概論@1@1,4103022@軟體工程@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4103061@數值分析@2@1,4103090@數位信號處理導論@2@1,4103900@工程倫理@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5
403410052,82,85,NaN,NaN,NaN,85,77,NaN,NaN,NaN,NaN,80,NaN,86,NaN,86,NaN,NaN,NaN,NaN,82,77,NaN,73,NaN,83,84,80,77,NaN,NaN,NaN,NaN,83,69,90,NaN,90,NaN,NaN,80,81,-1,NaN,NaN,89,-1,NaN,NaN,86,87,86,NaN,71,98,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403410053,77,79,NaN,NaN,NaN,79,84,NaN,85,NaN,NaN,88,NaN,79,NaN,NaN,NaN,79,NaN,NaN,NaN,73,NaN,97,88,NaN,74,72,79,87,NaN,NaN,NaN,82,75,89,NaN,77,NaN,NaN,76,81,-1,NaN,-1,NaN,NaN,NaN,NaN,89,NaN,81,NaN,NaN,98,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
403410054,64,63,63,NaN,NaN,41,NaN,38,NaN,NaN,NaN,12,NaN,-1,NaN,-1,NaN,7,NaN,70,NaN,71,NaN,15,67,NaN,40,NaN,45,NaN,NaN,40,-1,NaN,-1,NaN,68,-1,NaN,-1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403410055,81,69,NaN,NaN,NaN,69,60,NaN,NaN,81,23,74,NaN,66,NaN,NaN,NaN,66,NaN,NaN,NaN,67,NaN,78,NaN,86,35,NaN,60,60,NaN,NaN,-1,NaN,-1,NaN,91,60,NaN,-1,34,NaN,-1,NaN,-1,64,NaN,NaN,NaN,53,60,NaN,75,NaN,94,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
403410056,67,71,NaN,NaN,NaN,71,NaN,30,NaN,NaN,NaN,43,NaN,NaN,61,NaN,61,NaN,NaN,69,NaN,64,NaN,48,82,NaN,72,55,30,78,NaN,66,NaN,71,-1,NaN,87,78,NaN,NaN,62,NaN,-1,NaN,-1,60,NaN,NaN,NaN,69,68,NaN,76,66,93,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403410057,66,60,NaN,NaN,60,NaN,72,NaN,79,NaN,NaN,61,NaN,NaN,73,NaN,73,NaN,NaN,NaN,NaN,71,NaN,73,82,NaN,67,51,82,72,73,NaN,NaN,60,68,83,NaN,61,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,63,NaN,NaN,58,NaN,94,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
403410058,75,76,NaN,76,NaN,NaN,NaN,67,NaN,NaN,NaN,66,NaN,NaN,75,NaN,75,NaN,NaN,NaN,78,81,NaN,71,NaN,94,65,77,68,75,NaN,NaN,NaN,73,73,87,NaN,70,NaN,-1,52,NaN,-1,-1,NaN,62,-1,NaN,NaN,64,74,57,NaN,62,98,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403410059,86,91,NaN,NaN,91,NaN,NaN,91,NaN,79,84,76,NaN,NaN,82,NaN,82,NaN,NaN,NaN,NaN,89,NaN,97,NaN,87,83,NaN,89,95,NaN,NaN,NaN,72,71,NaN,87,98,NaN,NaN,80,73,-1,NaN,NaN,NaN,-1,NaN,NaN,89,91,NaN,90,80,99,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
403410060,78,93,93,NaN,NaN,NaN,NaN,91,NaN,NaN,96,NaN,82,NaN,81,NaN,81,NaN,NaN,NaN,73,87,NaN,94,NaN,90,86,NaN,95,NaN,NaN,NaN,97,NaN,87,NaN,83,100,NaN,90,NaN,NaN,-1,NaN,-1,NaN,86,NaN,NaN,90,92,90,NaN,87,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403410061,78,99,NaN,NaN,99,NaN,NaN,74,NaN,78,NaN,NaN,87,NaN,94,NaN,NaN,NaN,94,NaN,NaN,90,NaN,96,82,NaN,85,100,85,NaN,NaN,NaN,88,NaN,91,90,NaN,100,NaN,NaN,96,93,-1,NaN,NaN,93,91,NaN,NaN,94,87,94,NaN,96,96,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
